event_key,dimension,raw_value,normalized_value,confidence,note
2026-05_ai_supply_chain_huggingface_openclaw,attack_method,supply_chain_compromise,supply_chain_compromise,high,Model/skill distribution channel abuse
2026-05_ai_supply_chain_huggingface_openclaw,product,Hugging Face,hugging_face,high,Platform referenced in report
2026-05_ai_supply_chain_huggingface_openclaw,product,OpenClaw,openclaw,high,Platform referenced in report
2026-05_ai_supply_chain_huggingface_openclaw,product_class,ai_tool,ai_tool,high,AI tooling ecosystem targeted
2026-05_amazon_ses_phishing_evasion,crime_trend,business_email_compromise,business_email_compromise,high,BEC usage explicitly mentioned
2026-05_amazon_ses_phishing_evasion,initial_access,phishing,phishing,high,Phishing delivery channel
2026-05_amazon_ses_phishing_evasion,product,Amazon SES,amazon_ses,high,Abused service named in source
2026-05_amazon_ses_phishing_evasion,product_class,cloud_service,cloud_service,high,Cloud email service abused
2026-05_aomori_prefecture_ehr_insider,initial_access,insider_abuse,insider_abuse,high,Hospital employee abused internal EHR access to obtain acquaintance's medical data
2026-05_aomori_prefecture_ehr_insider,product_class,cloud_service,cloud_service,medium,Electronic health records system accessed
2026-05_asahiseiki_defacement,attack_method,seo_spam_redirect,seo_spam_redirect,low,"Website defacement showing unrelated pages, possible SEO spam/redirect technique"
2026-05_bluekit_phishing_service,attack_method,credential_theft,credential_theft,high,Bluekit designed to steal credentials via phishing
2026-05_bluekit_phishing_service,crime_trend,phishing_kit_ecosystem,phishing_kit_ecosystem,high,Bluekit is a PhaaS with 40+ templates and AI assistant
2026-05_canvas_portal_shinyhunters_extortion,actor,ShinyHunters,shinyhunters,high,Actor explicitly named
2026-05_canvas_portal_shinyhunters_extortion,actor_attribution,cybercrime,cybercrime,high,Extortion campaign context
2026-05_canvas_portal_shinyhunters_extortion,attack_method,defense_evasion,defense_evasion,high,Portal tampering and extortion messaging
2026-05_canvas_portal_shinyhunters_extortion,crime_trend,data_extortion,data_extortion,high,Ransom/extortion pressure
2026-05_canvas_portal_shinyhunters_extortion,product,Canvas,canvas,high,Impacted login portals
2026-05_cisco_cnc_nso_cve_2026_20188_dos,attack_method,ddos,ddos,high,DoS condition caused by remote request flood/resource exhaustion
2026-05_cisco_cnc_nso_cve_2026_20188_dos,product,Cisco Crosswork Network Controller,cisco_crosswork_network_controller,high,Affected product
2026-05_cisco_cnc_nso_cve_2026_20188_dos,product,Cisco NSO,cisco_nso,high,Affected product
2026-05_cisco_cnc_nso_cve_2026_20188_dos,product_class,network_device,network_device,high,Network management infrastructure
2026-05_claude_ai_water_utility_attack,attack_method,credential_theft,credential_theft,medium,Password spraying and credential list generation described
2026-05_claude_ai_water_utility_attack,product,Claude,claude,medium,AI tool used in operation planning per report
2026-05_claude_ai_water_utility_attack,product_class,ai_tool,ai_tool,medium,AI tool abuse context
2026-05_clickfix_vidar_campaign,attack_method,social_engineering,social_engineering,high,Fake verification/CAPTCHA prompts
2026-05_clickfix_vidar_campaign,crime_trend,clickfix,clickfix,high,ClickFix explicitly identified
2026-05_clickfix_vidar_campaign,malware,Vidar Stealer,vidar_stealer,high,Malware family named
2026-05_clickfix_vidar_campaign,product,WordPress,wordpress,high,Compromised WordPress sites used
2026-05_clickfix_vidar_campaign,product_class,cms,cms,high,WordPress CMS abuse
2026-05_cloudz_phone_link_otp_theft,attack_method,credential_theft,credential_theft,high,Credential/OTP theft
2026-05_cloudz_phone_link_otp_theft,attack_method,token_theft,token_theft,high,OTP interception used for account takeover
2026-05_cloudz_phone_link_otp_theft,malware,CloudZ,cloudz,high,Malware family named
2026-05_cloudz_phone_link_otp_theft,product,Microsoft Phone Link,microsoft_phone_link,high,Abused product
2026-05_consentfix_v3_azure_oauth_abuse,attack_method,session_hijacking,session_hijacking,high,Session takeover via delegated access
2026-05_consentfix_v3_azure_oauth_abuse,attack_method,token_theft,token_theft,high,OAuth consent abuse for token capture
2026-05_consentfix_v3_azure_oauth_abuse,product,Microsoft Azure,microsoft_azure,high,Targeted platform
2026-05_consentfix_v3_azure_oauth_abuse,product_class,identity_service,identity_service,high,Identity/OAuth abuse
2026-05_cpanel_whm_cve_2026_41940_zeroday,attack_method,authentication_bypass,authentication_bypass,high,CRLF injection and improper session handling bypass authentication
2026-05_cpanel_whm_cve_2026_41940_zeroday,attack_method,ransomware,ransomware,high,Sorry ransomware attacks reported
2026-05_cpanel_whm_cve_2026_41940_zeroday,initial_access,exploit_public_facing_app,exploit_public_facing_app,high,Internet-facing cPanel/WHM exploited pre-patch
2026-05_cpanel_whm_cve_2026_41940_zeroday,product,cPanel,cpanel,high,CVE-2026-41940 in cPanel and WHM
2026-05_cpanel_whm_cve_2026_41940_zeroday,product,WHM,whm,high,WHM affected by CVE-2026-41940
2026-05_cpanel_whm_cve_2026_41940_zeroday,product_class,web_server,web_server,high,cPanel/WHM web hosting control panel exploited
2026-05_credential_theft_systemization_trend,actor,CLR Team,clr_team,medium,Actor cluster mentioned in report
2026-05_credential_theft_systemization_trend,actor,Roku Team,roku_team,medium,Actor cluster mentioned in report
2026-05_credential_theft_systemization_trend,crime_trend,infostealer_market,infostealer_market,high,Infostealer ecosystem trend
2026-05_credential_theft_systemization_trend,crime_trend,malware_as_a_service,malware_as_a_service,high,Affiliate-style malware business model
2026-05_crypto_heist_gang_sentencing,actor_attribution,cybercrime,cybercrime,high,Organized criminal group
2026-05_crypto_heist_gang_sentencing,crime_trend,crypto_theft,crypto_theft,high,Large-scale crypto theft operation
2026-05_crypto_scam_takedown_dubai,crime_trend,crypto_theft,crypto_theft,high,Crypto funds stolen via fake investment platforms
2026-05_crypto_scam_takedown_dubai,crime_trend,investment_scam,investment_scam,high,Pig butchering crypto investment scam centers dismantled
2026-05_daemon_tools_supply_chain_backdoor,attack_method,backdoor,backdoor,high,Backdoor deployment reported
2026-05_daemon_tools_supply_chain_backdoor,attack_method,supply_chain_compromise,supply_chain_compromise,high,Build/distribution compromise
2026-05_daemon_tools_supply_chain_backdoor,initial_access,supply_chain,supply_chain,high,Official installer tampering
2026-05_daemon_tools_supply_chain_backdoor,product,DAEMON Tools Lite,daemon_tools_lite,high,Affected software
2026-05_deepdoor_python_backdoor,attack_method,backdoor,backdoor,high,Deep#Door provides persistent backdoor access
2026-05_deepdoor_python_backdoor,attack_method,c2_communication,c2_communication,high,bore.pub TCP tunneling used for C2 without exposing dedicated server
2026-05_deepdoor_python_backdoor,attack_method,credential_theft,credential_theft,high,"Browser, SSH, cloud credentials targeted"
2026-05_deepdoor_python_backdoor,attack_method,persistence,persistence,high,Startup/Registry Run/scheduled tasks/WMI multi-layer persistence
2026-05_deepdoor_python_backdoor,malware,Deep#Door,deepdoor,high,Source names malware Deep#Door
2026-05_etherrat_github_facade_distribution,attack_method,seo_spam_redirect,seo_spam_redirect,high,SEO poisoning/facade redirection
2026-05_etherrat_github_facade_distribution,attack_method,social_engineering,social_engineering,high,Admin tool spoofing
2026-05_etherrat_github_facade_distribution,malware,EtherRAT,etherrat,high,Malware family named in source
2026-05_fake_claude_beagle_malware,attack_method,backdoor,backdoor,high,Backdoor capability reported
2026-05_fake_claude_beagle_malware,attack_method,c2_communication,c2_communication,high,Encrypted C2 communication
2026-05_fake_claude_beagle_malware,malware,Beagle,beagle,high,Malware name explicitly stated
2026-05_fake_claude_beagle_malware,product,Claude,claude,high,Brand spoofed in lure site
2026-05_fake_claude_beagle_malware,product_class,ai_tool,ai_tool,high,AI tool brand impersonation
2026-05_fake_tanstack_npm_packages,attack_method,credential_theft,credential_theft,high,Secrets exfiltration from .env files
2026-05_fake_tanstack_npm_packages,attack_method,malicious_package,malicious_package,high,Fake package publication
2026-05_fake_tanstack_npm_packages,initial_access,supply_chain,supply_chain,high,Malicious npm package vector
2026-05_fake_tanstack_npm_packages,product,tanstack,tanstack,high,Spoofed package name
2026-05_fake_tanstack_npm_packages,product_class,package_ecosystem,package_ecosystem,high,npm ecosystem impacted
2026-05_falcon_shield_spider_extortion_campaigns,actor,CORDIAL SPIDER,cordial_spider,high,Actor explicitly named
2026-05_falcon_shield_spider_extortion_campaigns,actor,SNARKY SPIDER,snarky_spider,high,Actor explicitly named
2026-05_falcon_shield_spider_extortion_campaigns,actor_attribution,cybercrime,cybercrime,high,Extortion-driven campaigns
2026-05_falcon_shield_spider_extortion_campaigns,attack_method,credential_theft,credential_theft,high,Credential theft emphasized
2026-05_falcon_shield_spider_extortion_campaigns,attack_method,session_hijacking,session_hijacking,high,AiTM token/session theft
2026-05_falcon_shield_spider_extortion_campaigns,attack_method,vishing,social_engineering,high,Vishing and social engineering tactics described
2026-05_fbi_cargo_theft_cybercrime_surge,attack_method,credential_theft,credential_theft,high,Cargo broker system credentials targeted via phishing
2026-05_fbi_cargo_theft_cybercrime_surge,initial_access,phishing,phishing,high,Phishing and fake emails used to access cargo broker systems
2026-05_former_contractor_federal_db_wipe,actor_attribution,insider,insider,high,Former contractor insider abuse context
