event_key,date,week,month,event_type,title,summary,source_file,source_url,confidence,needs_review,monthly_followup_candidate
2026-07-01_agenttesla_invoice_malspam,2026-07-01,2026-W27,2026-07,malware_campaign,AgentTeslaを配布する偽装請求書マルスパム,件名「Re: 請求書」、添付ファイル「請求書.rar」のマルスパムが確認された。rar内の.jsが.pif（実体はexeのJavaScriptランタイム）を生成しAgentTeslaを展開し、ftp.enogcaen-br[.]comへ通信する。,daily-news/news/2026_07-09/20260701.md,https://x.com/bomccss/status/2071832499286872112,high,false,maybe
2026-07-01_malicious_pypi_telegram_bot_backdoor,2026-07-01,2026-W27,2026-07,supply_chain,Pyrogramを装う悪性PyPIパッケージがTelegramボットにバックドア（Operation Navy Ghost）,2025年11月以降、Pyrogramフォークを装う悪性PyPIパッケージが公開され、少なくとも8パッケージにsecret.pyバックドアが含まれていた。攻撃者はTelegram経由でPythonコードやシェルコマンドを実行でき、Checkmarxは単一攻撃者による作戦（Operation Navy Ghost）と評価している。,daily-news/news/2026_07-09/20260701.md,https://www.bleepingcomputer.com/news/security/malicious-pypi-packages-give-hackers-control-of-telegram-bot-servers/,high,false,yes
2026-07-01_fake_perplexity_chrome_extension,2026-07-01,2026-W27,2026-07,malware_campaign,Chromeウェブストアの偽Perplexity拡張機能が検索を追跡,Chromeウェブストア上でPerplexity AIを装う悪性拡張機能「Search for perplexity ai」が確認された。検索設定を変更し検索語をperplexity-ai[.]online経由で送信していた。Googleへの開示後、削除済み。,daily-news/news/2026_07-09/20260701.md,https://www.bleepingcomputer.com/news/security/fake-perplexity-extension-on-chrome-web-store-tracked-searches/,high,false,maybe
2026-07-01_aflac_japan_subsidiary_breach,2026-07-01,2026-W27,2026-07,incident,保険大手Aflac、日本子会社へのハッキング後にデータ侵害を開示,Aflac Japanのシステムが2026年6月15日から25日の間に不正アクセスを受け、6月25日に検知された。契約・保障内容、個人情報、銀行口座情報が影響を受けた可能性がある。影響は日本のシステムに限定され、攻撃者は不明。,daily-news/news/2026_07-09/20260701.md,https://www.sec.gov/Archives/edgar/data/4977/000162828026046124/afl-20260630.htm,high,false,yes
2026-07-01_teams_external_bot_approval_policy,2026-07-01,2026-W27,2026-07,tool_release,Microsoft Teams、外部ボット参加に承認制保護を追加,Microsoftは、Teams会議で第三者ボットの参加を承認制にできる新しい管理者ポリシーを導入した。有効化すると悪意あるアプリや外部ボットを自動検出してロビーに配置し、主催者の承認を必須にする。,daily-news/news/2026_07-09/20260701.md,https://www.bleepingcomputer.com/news/microsoft/mircosoft-adds-smarter-bot-protection-to-teams-meetings/,high,false,no
2026-07-01_blackfield_ransomware_nidec,2026-07-01,2026-W27,2026-07,incident,Blackfieldランサムウェア、ニデック子会社に200万ドルの身代金を要求,Blackfieldランサムウェアギャングは、ニデック台湾子会社Nidec Chaun Choung Technologyのサーバーの一部を侵害し200万ドルの身代金を要求した。盗んだと主張するデータの公開・販売で脅迫しており、ニデックは影響サーバーとネットワークを停止した。,daily-news/news/2026_07-09/20260701.md,https://www.bleepingcomputer.com/news/security/blackfield-ransomware-asks-nidec-corporation-for-2-million-ransom/,high,false,yes
2026-07-01_bluehammer_defender_privesc_exploited,2026-07-01,2026-W27,2026-07,active_exploitation,CISA、Windows BlueHammer脆弱性がランサムウェア集団に悪用されていると警告,CISAは、Microsoft Defenderの権限昇格脆弱性BlueHammer（CVE-2026-33825）がランサムウェア攻撃で悪用されていると確認した。認証済み攻撃者がローカルで権限昇格しSAMデータベースへアクセス可能。Microsoftは2026年4月14日に修正済みだが、その後ゼロデイ悪用や手動操作型攻撃が報告された。,daily-news/news/2026_07-09/20260701.md,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,high,false,yes
2026-07-01_mustang_panda_india_zohomurk_minirecon,2026-07-01,2026-W27,2026-07,malware_campaign,Mustang Panda、ZOHOMURKとMINIRECONでインド政府・エネルギー部門を標的化,Acronis TRUは、Mustang Pandaがインド水力発電部門と対台湾協力に関わる政府機関を狙う2つの同時進行キャンペーンを確認した。SHARDLOADER、MINIRECON、ZOHOMURKという新たなマルウェアが使われ、ZOHOMURKは正規のZoho WorkDriveをC2、データ流出、遠隔タスク実行に悪用する。,daily-news/news/2026_07-09/20260701.md,https://www.acronis.com/en/tru/posts/mustang-panda-targets-indias-government-and-energy-sectors/,high,false,yes
2026-07-01_china_cyber_ops_overseas_critics,2026-07-01,2026-W27,2026-07,security_research,中国のサイバー作戦とその背後の請負業者による海外批判者の標的化,"中国の国家機関と民間請負業者のエコシステムが、海外の批判者の特定・監視・嫌がらせにサイバー能力を使っているとされる。2026年2月のイタリア内務省ネットワーク侵害で、DIGOS職員約5,000人分の人事データが盗まれたと報じられた。記事は有料サブスクリプションのため無料部分までの要約。",daily-news/news/2026_07-09/20260701.md,https://www.nattothoughts.com/p/how-chinas-cyber-operations-and-the-610,medium,true,maybe
2026-07-01_operation_dragonreturn_india_tax_dcrat,2026-07-01,2026-W27,2026-07,malware_campaign,Operation DragonReturn、多段階DcRAT展開でインド財務省税務インフラを標的化,Seqriteは、中国関連クラスターとみられるOperation DragonReturnをインド税務関連エコシステムで確認した。財務省・所得税局を偽装したスピアフィッシングで悪性ZIPを配布し、多段階でDcRAT系ペイロードを展開する。AMSI回避、Windowsサービス永続化、svchostへのインジェクションを行い、Silver FoxとのTTP重複が指摘されている。,daily-news/news/2026_07-09/20260701.md,https://www.seqrite.com/blog/operation-dragonreturn-china-nexus-cyber-espionage-campaign-targeting-govt-of-india-mof-tax-infrastructure-via-multi-stage-dcrat-deployment/,high,false,yes
2026-07-01_lazarus_npm_rollup_polyfill,2026-07-01,2026-W27,2026-07,supply_chain,Lazarus関連npmマルウェア、Rollupポリフィルを装う,JFrogは、正規Rollupポリフィル系ツールを装う悪性npmパッケージ群を特定した。依存関係経由でJSONKeeperから取得したペイロードをevalで実行し、最終的にリモート操作、ブラウザ・暗号資産ウォレット情報収集、ファイル収集、クリップボード監視を行う。過去の北朝鮮Lazarus関連npmキャンペーンに類似すると説明されている。,daily-news/news/2026_07-09/20260701.md,https://research.jfrog.com/post/rollup-polyfill-masquerading/,high,true,yes
