ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
ip,91.195.240.123,2026-05-13,c2,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. C2 IP associated with attacker-controlled checkmarx.cx domain in Checkmarx Jenkins plugin supply chain attack.,AI agent,medium
ip,94.154.172.43,2026-05-13,c2,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. C2 IP associated with attacker-controlled audit.checkmarx.cx domain in supply chain attack.,AI agent,medium
ip,94.154.172.183,2026-05-13,c2,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. C2 IP associated with attacker-controlled updates.checkmarx.cx domain in supply chain attack.,AI agent,medium
domain,checkmarx.zone,2026-05-13,c2,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. Attacker-controlled domain impersonating Checkmarx brand used as C2 infrastructure in supply chain attack.,AI agent,medium
domain,checkmarx.cx,2026-05-13,c2,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. Attacker-controlled domain impersonating Checkmarx using .cx TLD serving as C2 backend.,AI agent,medium
domain,audit.checkmarx.cx,2026-05-13,c2,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. Attacker-controlled subdomain of checkmarx.cx used as C2 endpoint in supply chain attack.,AI agent,medium
domain,updates.checkmarx.cx,2026-05-13,c2,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. Attacker-controlled subdomain of checkmarx.cx used as C2 update endpoint in supply chain attack.,AI agent,medium
file_hash_sha256,01ff1e56fd59a8fa525d97e670f7f297a1a204331b89b2cd4e36a9abc6419203,2026-05-09,malware,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. SHA256 of malicious Checkmarx Jenkins AST scanner plugin file (checkmarx-ast-scanner-2026.5.09.hpi) containing infostealer code.,AI agent,medium
file_hash_sha256,f50a96d26a5b0beb29de4127e82b2bf350c21511e5a43d286e43f798dc6cd53f,2026-05-09,malware,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. SHA256 of malicious Checkmarx Jenkins AST scanner JAR file (checkmarx-ast-scanner-2026.5.09.jar).,AI agent,medium
file_hash_sha256,3ddb8967919a801b3c383e58cddceab21138134c6a26560d99e2672e86f36f2a,2026-05-09,related-file,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. SHA256 of malicious Checkmarx Jenkins AST scanner POM metadata file (checkmarx-ast-scanner-2026.5.09.pom).,AI agent,medium
file_hash_sha256,65bd72fcddaf938cefdf55b3323ad29f649a65d4ddd6aea09afa974dfc7f105d,2026-05-13,malware,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. SHA256 of malicious Checkmarx VS Code extension (ast-results-2.53.0.vsix) containing infostealer code.,AI agent,medium
file_hash_sha256,744c9d61b66bcd2bb5474d9afeee6c00bb7e0cd32535781da188b80eb59383e0,2026-05-13,malware,TeamPCP,unknown,Infostealer,stealer,https://checkmarx.com/blog/ongoing-security-updates/,AI generated. SHA256 of malicious Checkmarx VS Code extension (cx-dev-assist-1.7.0.vsix) containing infostealer code.,AI agent,medium
domain,precommit.vercel.app,2026-05-13,c2,Lazarus Group,north-korea,"InvisibleFerret, BeaverTail",stealer,https://opensourcemalware.com/blog/dprk-git-hooks-malware,AI generated. Attacker-controlled Vercel-hosted domain masquerading as pre-commit service used as C2 in DPRK Lazarus Group Git hooks campaign.,AI agent,medium
url,https://precommit.vercel.app/settings/mac?flag=5,2026-05-13,c2,Lazarus Group,north-korea,"InvisibleFerret, BeaverTail",stealer,https://opensourcemalware.com/blog/dprk-git-hooks-malware,AI generated. C2 URL serving macOS payload via malicious Git hooks pre-commit script in DPRK Lazarus Group campaign.,AI agent,medium
url,https://precommit.vercel.app/settings/linux?flag=5,2026-05-13,c2,Lazarus Group,north-korea,"InvisibleFerret, BeaverTail",stealer,https://opensourcemalware.com/blog/dprk-git-hooks-malware,AI generated. C2 URL serving Linux payload via malicious Git hooks pre-commit script in DPRK Lazarus Group campaign.,AI agent,medium
url,https://precommit.vercel.app/settings/windows?flag=5,2026-05-13,c2,Lazarus Group,north-korea,"InvisibleFerret, BeaverTail",stealer,https://opensourcemalware.com/blog/dprk-git-hooks-malware,AI generated. C2 URL serving Windows payload via malicious Git hooks pre-commit script in DPRK Lazarus Group campaign.,AI agent,medium
