ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
url,https://www.app-wendinggo.com/index.php,2026-05-20,phishing-site,unknown,unknown,unknown,unknown,https://x.com/bomccss/status/2056604735604752474,AI generated. Malicious URL distributing malware in Japanese malspam campaign (ざいむしょひょう).,AI agent,medium
ip,47.79.253.210,2026-05-20,c2,unknown,unknown,unknown,unknown,https://x.com/bomccss/status/2056604735604752474,AI generated. C2 IP observed in Japanese malspam campaign.,AI agent,medium
ip,43.165.179.173,2026-05-20,c2,unknown,unknown,unknown,unknown,https://x.com/bomccss/status/2056604735604752474,AI generated. C2 IP (port 5000) observed in Japanese malspam campaign.,AI agent,medium
domain,t.m-kosche.com,2026-05-20,c2,unknown,unknown,Shai-Hulud,stealer,https://socket.dev/blog/antv-packages-compromised,AI generated. Primary C2/exfiltration domain used in Shai-Hulud @antv npm supply chain attack.,AI agent,medium
url,https://t.m-kosche.com:443/api/public/otel/v1/traces,2026-05-20,c2,unknown,unknown,Shai-Hulud,stealer,https://socket.dev/blog/antv-packages-compromised,AI generated. HTTPS exfiltration endpoint for stolen credentials in Shai-Hulud campaign.,AI agent,medium
url,https://filev2.getsession.org/file/,2026-05-20,c2,unknown,unknown,Shai-Hulud,stealer,https://www.endorlabs.com/learn/mini-shai-hulud-returns-42-malicious-npm-packages-fake-sigstore-badges-in-antv-ecosystem-attack,AI generated. Session P2P exfiltration channel (TCP/443) used in mini Shai-Hulud npm attack.,AI agent,medium
file_hash_sha256,a68dd1e6a6e35ec3771e1f94fe796f55dfe65a2b94560516ff4ac189390dfa1c,2026-05-20,malware,unknown,unknown,Shai-Hulud,stealer,https://www.endorlabs.com/learn/mini-shai-hulud-returns-42-malicious-npm-packages-fake-sigstore-badges-in-antv-ecosystem-attack,AI generated. SHA256 of malicious index.js payload embedded in @antv/l7-core@2.26.10.,AI agent,medium
domain,hebsbsbzjsjshduxbs.xyz,2026-05-20,c2,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. Primary C2 domain for SHub Reaper macOS infostealer.,AI agent,medium
url,https://hebsbsbzjsjshduxbs.xyz/api/debug/event,2026-05-20,c2,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. SHub Reaper C2 endpoint for telemetry/debug events.,AI agent,medium
url,https://hebsbsbzjsjshduxbs.xyz/api/bot/heartbeat,2026-05-20,c2,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. SHub Reaper beacon endpoint used by GoogleUpdate-disguised LaunchAgent.,AI agent,medium
url,https://hebsbsbzjsjshduxbs.xyz/gate,2026-05-20,c2,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. SHub Reaper C2 gate endpoint for chunked data uploads.,AI agent,medium
domain,qq-0732gwh22.com,2026-05-20,phishing-site,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. Fake WeChat installer lure domain used by SHub Reaper.,AI agent,medium
domain,mlcrosoft.co.com,2026-05-20,phishing-site,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. Typosquatted Microsoft lure domain distributing fake WeChat installer for SHub Reaper.,AI agent,medium
domain,mlroweb.com,2026-05-20,phishing-site,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. Fake Miro installer lure domain used by SHub Reaper.,AI agent,medium
file_hash_sha256,6552824c59ddacb134073f24a4bd4724514a938a9dc59f1733503642faed3bd3,2026-05-20,malware,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. SHA256 build identifier hash for SHub Reaper macOS stealer.,AI agent,medium
file_hash_md5,c917fcf8314228862571f80c9e4a871e,2026-05-20,malware,unknown,unknown,SHub Reaper,stealer,https://www.sentinelone.com/blog/shub-reaper-macos-stealer-spoofs-apple-google-and-microsoft-in-a-single-attack-chain/,AI generated. MD5 build identifier hash for SHub Reaper macOS stealer.,AI agent,medium
domain,nelark.icu,2026-05-15,c2,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 C2 domain hosting PowerShell RAT infrastructure.,AI agent,medium
url,https://nelark.icu/xftaswx/res/bb.php,2026-05-15,c2,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 initial script download C2 URL.,AI agent,medium
url,https://nelark.icu/xftaswx/res/post_proc.php?fpath=bpersist.ps1,2026-05-15,c2,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 C2 URL for persistence script retrieval.,AI agent,medium
url,https://nelark.icu/xftaswx/res/bypass.b,2026-05-15,c2,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 C2 URL for UAC bypass batch retrieval.,AI agent,medium
url,https://nelark.icu/xftaswx/res/index.php,2026-05-15,c2,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 C2 URL for UAC result reporting.,AI agent,medium
url,https://nelark.icu/xftaswx/res/post_proc.php?fpath=scheduler-once,2026-05-15,c2,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 C2 URL for scheduler registration script.,AI agent,medium
url,https://nelark.icu/xftaswx/res/post_proc.php?fpath=a.ps1,2026-05-15,c2,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 C2 URL for main RAT retrieval.,AI agent,medium
file_hash_md5,80088af673b0117dbd5cf528021dd970,2026-05-15,malware,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 MD5 hash of 1.pdf.lnk initial lure file.,AI agent,medium
file_hash_md5,c499e415f7e07f513d8319013a8b2e86,2026-05-15,malware,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 MD5 hash of 1.pdf.lnk.zip archive.,AI agent,medium
file_hash_md5,0331a83b58231cb0cd3bfe319003ed1a,2026-05-15,malware,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 MD5 hash of OneDrive.lnk lure file.,AI agent,medium
file_hash_md5,806fb7876b63ba89d2432cb831be01ba,2026-05-15,malware,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 MD5 hash of a.ps1 PowerShell RAT payload.,AI agent,medium
file_hash_md5,c57a8b40d2ca402656ff3d778f42708c,2026-05-15,malware,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 MD5 hash of bb.ps1 helper script.,AI agent,medium
file_hash_md5,2689f58b803364bbfba2edb423a3b572,2026-05-15,malware,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 MD5 hash of bpersist.ps1 persistence script.,AI agent,medium
file_hash_md5,552ca91696fedd387e1ea47f50f18344,2026-05-15,malware,Kimsuky,north-korea,PowerShell RAT,RAT,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #1 MD5 hash of scheduler-once.bat task scheduler script.,AI agent,medium
url,https://raw.githubusercontent.com/brandonleeodd93-blip/doc7/main/1.txt,2026-05-15,c2,Kimsuky,north-korea,bpvme.ps1,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 malicious GitHub raw URL used as C2 payload delivery (bpvme.ps1).,AI agent,medium
url,https://raw.githubusercontent.com/brandonleeodd93-blip/doc7/main/2.txt,2026-05-15,c2,Kimsuky,north-korea,coks.ps1,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 malicious GitHub raw URL used as C2 periodic payload (coks.ps1).,AI agent,medium
url,https://raw.githubusercontent.com/brandonleeodd93-blip/doc7/main/view.pdf,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 malicious GitHub raw URL used as lure document display.,AI agent,medium
file_hash_md5,aa9d5dd632bb90addca480eaa5ff4382,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of PumpGuard PDF.lnk lure.,AI agent,medium
file_hash_md5,5c2857913efc6007b3ee7028a132baa4,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of PumpGuard lure ZIP archive.,AI agent,medium
file_hash_md5,6869766741b40825e31fd8bbff688bd3,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of bpvme.ps1 infostealer script.,AI agent,medium
file_hash_md5,a3363e0c22c0356fdbcdc37f502bbcde,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of firefox.ps1 script.,AI agent,medium
file_hash_md5,471faa43f4811a0250648d586cb3eebf,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of bpvme.ps1 variant.,AI agent,medium
file_hash_md5,8301fc2c740f6309864e68b6e429d0f0,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of whale.vbs script.,AI agent,medium
file_hash_md5,af7330af68a8f79b5a28fcc242e54a7e,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of lure document archive.,AI agent,medium
file_hash_md5,450774df6785e6eeb6ea906490905888,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of firefox.ps1 variant.,AI agent,medium
file_hash_md5,831d7c614ba32aa5d70ff9b0f259ee1d,2026-05-15,malware,Kimsuky,north-korea,unknown,stealer,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #2 MD5 hash of wale.ps1 script.,AI agent,medium
ip,103.67.196.25,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #3 self-hosted C2 IP used in K-ICTC document lure attack.,AI agent,medium
url,http://103.67.196.25/conf.dat,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #3 C2 URL for VBE script download.,AI agent,medium
url,http://103.67.196.25/payload.dat,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #3 C2 URL for payload download.,AI agent,medium
file_hash_md5,b3c90f52e4b86a94ec637fee4354bb84,2026-05-15,malware,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #3 MD5 hash of K-ICTC Information.pdf.lnk lure.,AI agent,medium
file_hash_md5,0dd1cf2d9a72fdbef19e77af59ba9d1f,2026-05-15,malware,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #3 MD5 hash of K-ICTC Information.pdf.zip archive.,AI agent,medium
file_hash_md5,cbb059bd691d846e8279d617134d3129,2026-05-15,malware,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #3 MD5 hash of conf.dat VBE script.,AI agent,medium
domain,yespp.co.kr,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #4 compromised legitimate server used as C2.,AI agent,medium
domain,pyrotech.co.kr,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #4 compromised legitimate server used as C2.,AI agent,medium
url,https://www.yespp.co.kr/common/include/code/out.php,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #4 C2 URL for exfiltrating collected info and VSCode device codes.,AI agent,medium
url,https://www.pyrotech.co.kr/common/include/tech/default.php,2026-05-15,c2,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #4 C2 URL listed in Logpresso report.,AI agent,medium
file_hash_md5,bb5040d54135b0999cc491b41a0a45e2,2026-05-15,malware,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #4 MD5 hash of 위탁교육 (1).hwpx.jse.zip archive.,AI agent,medium
file_hash_md5,9fe43e08c8f446554340f972dac8a68c,2026-05-15,malware,Kimsuky,north-korea,unknown,unknown,https://logpresso.com/ko/blog/2026-05-15-1Q-Kimsuky-report,AI generated. Kimsuky Campaign #4 MD5 hash of 위탁교육 (1).hwpx.jse malicious script.,AI agent,medium
