ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
url,https://hrxjp.vip/er0L,2026-06-10,c2,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2064565203610800580,AI generated. Download URL used in ValleyRAT malspam campaign targeting Japanese organizations.,AI agent,medium
url,https://laonashijie-1433552157.cos.ap-hongkong.myqcloud.com/pdfcore8.Dll,2026-06-10,c2,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2064565203610800580,AI generated. Payload download URL for ValleyRAT DLL used in Japanese malspam campaign.,AI agent,medium
url,https://laonashijie-1433552157.cos.ap-hongkong.myqcloud.com/20260610105308.exe,2026-06-10,c2,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2064565203610800580,AI generated. Payload download URL for ValleyRAT executable used in Japanese malspam campaign.,AI agent,medium
ip,43.128.26.132,2026-06-10,c2,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2064565203610800580,AI generated. C2 IP for ValleyRAT communicating on ports 778 and 779.,AI agent,medium
file_hash_sha256,88e32dfea6c94b16a89e9c3b66a01f5bc1c99b4abddb48060cbe5c06b77907d3,2026-06-10,abusefile,unknown,unknown,ValleyRAT,N/A,https://x.com/bomccss/status/2064565203610800580,AI generated. Legitimate MicrosoftEdgeUpdate.exe abused for DLL sideloading of ValleyRAT payload.,AI agent,medium
file_hash_sha256,6640bcb652936d265bbe378a4b9112e1246da3545ec2c943f416fa7f3874e282,2026-06-10,malware,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2064565203610800580,"AI generated. SHA256 of PDFCore8.dll, the ValleyRAT RAT payload sideloaded via MicrosoftEdgeUpdate.exe.",AI agent,medium
file_hash_sha256,d447a06cba8d3dbe80e09d73dd64576836b258961ee0d3ba56cf26cea7962b49,2026-06-11,malware,unknown,unknown,AgentTesla,loader,https://x.com/bomccss/status/2064573859098231195,"AI generated. SHA256 of QRHXHQVTWFQEFBYP.exe, a loader used in AgentTesla malspam targeting Japanese organizations.",AI agent,medium
file_hash_sha256,d88b95956c3f5a2e311d37cac9cf3df768ff7e9c5d931e2591c7930fb5dad84c,2026-06-11,malware,unknown,unknown,AgentTesla,stealer,https://x.com/bomccss/status/2064573859098231195,"AI generated. SHA256 of QRHXHQVTWFQEFBYP.ttf, the AgentTesla stealer payload dropped in Japanese malspam.",AI agent,medium
domain,ftp.piovau.com,2026-06-11,c2,unknown,unknown,AgentTesla,stealer,https://x.com/bomccss/status/2064573859098231195,AI generated. FTP C2 domain used by AgentTesla for credential exfiltration.,AI agent,medium
ip,142.11.200.186,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Attacker infrastructure IP linked to ShinyHunters Oracle PeopleSoft data theft campaign.,AI agent,medium
ip,142.11.200.187,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Attacker infrastructure IP linked to ShinyHunters Oracle PeopleSoft data theft campaign.,AI agent,medium
ip,142.11.200.188,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Attacker infrastructure IP linked to ShinyHunters Oracle PeopleSoft data theft campaign.,AI agent,medium
ip,142.11.200.189,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Attacker infrastructure IP linked to ShinyHunters Oracle PeopleSoft data theft campaign.,AI agent,medium
ip,142.11.200.190,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Attacker infrastructure IP linked to ShinyHunters Oracle PeopleSoft data theft campaign.,AI agent,medium
ip,108.174.202.99,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Attacker infrastructure IP associated with ShinyHunters Oracle PeopleSoft intrusion.,AI agent,medium
ip,176.120.22.24,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Attacker infrastructure IP associated with ShinyHunters Oracle PeopleSoft intrusion.,AI agent,medium
domain,azurenetfiles.net,2026-06-11,c2,ShinyHunters,cybercrime,unknown,unknown,https://www.bleepingcomputer.com/news/security/oracle-peoplesoft-servers-hacked-in-shinyhunters-data-theft-attacks/,AI generated. Domain found in TLS certificate CN on attacker servers; previously linked to ShinyHunters.,AI agent,medium
ip,149.248.3.38,2026-06-11,c2,Volt Typhoon,china,JDY,unknown,https://www.lumen.com/blog/en-us/expanded-jdy-iot-and-soho-botnet-enables-rapid-vulnerability-exploitation,"AI generated. JDY botnet C2 server running Platypus reverse shell, attributed to China-nexus Volt Typhoon.",AI agent,medium
ip,51.159.98.241,2026-06-09,srcip,unknown,unknown,N/A,N/A,https://www.bleepingcomputer.com/news/security/servicenow-discloses-security-incident-exposing-customer-data/,AI generated. Source IP observed making unauthorized API requests to vulnerable ServiceNow endpoint.,AI agent,medium
url,https://o4511539639222272.ingest.de.sentry.io/api/4511539669368912/envelope/,2026-06-10,c2,unknown,unknown,unknown,unknown,https://github.com/cenotelie/onering/issues/1,AI generated. Exfiltration endpoint used by malicious build.rs in compromised onering 1.4.1 Rust crate.,AI agent,medium
domain,o4511539639222272.ingest.de.sentry.io,2026-06-10,c2,unknown,unknown,unknown,unknown,https://github.com/cenotelie/onering/issues/1,AI generated. Sentry ingest subdomain used as exfiltration endpoint by compromised onering 1.4.1 Rust crate.,AI agent,medium
url,https://8197ee42c4f59c83f4cc6d48f5bae821@o4511539639222272.ingest.de.sentry.io/4511539669368912,2026-06-10,c2,unknown,unknown,unknown,unknown,https://github.com/cenotelie/onering/issues/1,AI generated. Sentry DSN URL hardcoded in malicious build.rs of compromised onering 1.4.1 Rust crate.,AI agent,medium
