event_key,dimension,raw_value,normalized_value,confidence,note
2026-08-06_guloader_malspam_campaign_japan,initial_access,見積依頼を装うマルスパム(zip添付),malspam,high,
2026-08-06_guloader_malspam_campaign_japan,malware,Guloader,guloader,high,
2026-08-06_guloader_malspam_campaign_japan,attack_method,Google Driveから取得しメモリ内実行するローダー,defense_evasion,medium,
2026-08-06_khunt_oracle_database_sql_injection,initial_access,公開Java/TomcatアプリのSQLインジェクション,exploit_public_facing_app,high,
2026-08-06_khunt_oracle_database_sql_injection,actor,攻撃者のグループ名・所在国・動機は不明と明記,unknown,high,
2026-08-06_khunt_oracle_database_sql_injection,actor_attribution,属性情報は不明と明記,unknown,high,
2026-08-06_khunt_oracle_database_sql_injection,product_class,Oracleデータベース,database,high,
2026-08-06_khunt_oracle_database_sql_injection,product,Oracle Database,oracle_database,high,
2026-08-06_khunt_oracle_database_sql_injection,malware,khunt,khunt,high,
2026-08-06_khunt_oracle_database_sql_injection,attack_method,SQLインジェクションによる侵入,sql_injection,high,
2026-08-06_khunt_oracle_database_sql_injection,attack_method,SYSTEM権限でのOSコマンド実行を確認,remote_code_execution,medium,
2026-08-06_langflow_cve_2026_9198_active_exploitation,product_class,Langflow(AIエージェント構築ツール),ai_tool,high,
2026-08-06_langflow_cve_2026_9198_active_exploitation,product,IBM Langflow,langflow,high,
2026-08-06_langflow_cve_2026_9198_active_exploitation,initial_access,既定Langflow環境の2つのAPI連鎖悪用,exploit_public_facing_app,high,
2026-08-06_langflow_cve_2026_9198_active_exploitation,attack_method,認証回避,authentication_bypass,high,
2026-08-06_langflow_cve_2026_9198_active_exploitation,attack_method,リモートコード実行,remote_code_execution,high,
2026-08-06_langflow_cve_2026_9198_active_exploitation,actor_attribution,攻撃者の属性は不明と明記,unknown,medium,
2026-08-06_n_central_cve_2026_18576_active_exploitation,product_class,N-able N-central(RMM基盤),remote_access,high,
2026-08-06_n_central_cve_2026_18576_active_exploitation,product,N-able N-central,n_central,high,
2026-08-06_n_central_cve_2026_18576_active_exploitation,initial_access,未認証で管理者アカウントを乗っ取り,exploit_public_facing_app,high,
