event_key,date,week,month,event_type,title,summary,source_file,source_url,confidence,needs_review,monthly_followup_candidate
2026-05-16_japanese_malspam_ibkr_desktop,2026-05-16,2026-W20,2026-05,malware_campaign,日本語マルスパム: IBKRなりすましによるマルウェア配布,日本語の悪性メールで「IBKR Desktop for Windows」になりすます配布キャンペーン。ntws-latest-standalone-windows-x64.exeをダウンロードさせ、スケジュールタスク「ib.exe」を作成してC2(38.47.227.212:56004)と通信する。,daily-news/news/2026_04-06/20260516.md,https://x.com/bomccss/status/2055301912145387902,medium,false,no
2026-05-16_japanese_malspam_sharinai_shiryo,2026-05-16,2026-W20,2026-05,malware_campaign,日本語マルスパム: 社内資料なりすましによるマルウェア配布,日本語の悪性メールで社内資料を装うlogin.zipを配布するキャンペーン。解凍するとlogin.exeとmx.exe(悪性)が展開され、ChromeでローカルログインページをChromeを表示しつつC2(43.165.179.173:5000)へ接続する。,daily-news/news/2026_04-06/20260516.md,https://x.com/bomccss/status/2055298774596288846,medium,false,no
2026-05-16_funnel_builder_wp_credit_card_skimming,2026-05-16,2026-W20,2026-05,active_exploitation,Funnel Builder WordPressプラグインの脆弱性がWooCommerceカード窃取に悪用,WordPress向けFunnel Builderプラグインの未認証で悪用可能な脆弱性(3.15.0.3未満)が悪用され、チェックアウトページに任意のJavaScriptが注入されている。攻撃者管理サーバーがカードスキマーを配信しカード番号・CVV・請求先住所を窃取する。修正版3.15.0.3が公開済み。,daily-news/news/2026_04-06/20260516.md,https://www.bleepingcomputer.com/news/security/funnel-builder-wordpress-plugin-bug-exploited-to-steal-credit-cards/,high,false,yes
2026-05-16_pwn2own_berlin_2026_day2,2026-05-16,2026-W20,2026-05,security_research,Pwn2Own Berlin 2026 2日目: Exchange・Windows 11・RHELなどのゼロデイが実演,"Pwn2Own Berlin 2026の2日目に研究者が15件のユニークなゼロデイを実演し38万5,750ドルを獲得した。DEVCOREはMicrosoft ExchangeでSYSTEMレベルRCEを達成し、Windows 11・Red Hat Enterprise Linux・NVIDIA Container Toolkitへの攻撃も含まれた。",daily-news/news/2026_04-06/20260516.md,https://www.bleepingcomputer.com/news/security/pwn2own-day-two-hackers-demo-microsoft-exchange-windows-11-red-had-enterprise-linux-zero-days/,high,false,maybe
2026-05-16_avada_builder_wp_vuln_file_read_sqli,2026-05-16,2026-W20,2026-05,vulnerability_advisory,Avada Builder WordPressプラグインの任意ファイル読み取りとSQLインジェクション脆弱性,CVE-2026-4782(任意ファイル読み取り)とCVE-2026-4798(SQLインジェクション、条件付き未認証悪用可能)の2件が報告された。wp-config.phpへのアクセスでDB認証情報や暗号鍵が漏えいする恐れがあり、修正版3.15.3が公開済み。,daily-news/news/2026_04-06/20260516.md,https://www.bleepingcomputer.com/news/security/avada-builder-wordpress-plugin-flaws-allow-site-credential-theft/,high,false,no
2026-05-16_microsoft_edge_cleartext_password_memory_fix,2026-05-16,2026-W20,2026-05,vulnerability_advisory,Microsoft Edgeが起動時に平文パスワードをメモリへ読み込む挙動を修正予定,Edgeが起動時に保存済みパスワードを平文でプロセスメモリへ読み込む挙動が発覚し研究者がPoCを公開した。管理者権限があれば他ユーザーのEdgeプロセスから保存済みパスワードを抽出可能であり、Microsoftは当初「設計通り」としていたが修正方針に転換しCanaryで既に有効化済み。,daily-news/news/2026_04-06/20260516.md,https://www.bleepingcomputer.com/news/microsoft/microsoft-edge-to-stop-loading-cleartext-passwords-in-memory-on-startup/,high,false,no
2026-05-16_exchange_cve_2026_42897_xss_zero_day,2026-05-16,2026-W20,2026-05,active_exploitation,Microsoft Exchange CVE-2026-42897 XSSゼロデイが攻撃で悪用 パッチ未提供,Exchange ServerのCVE-2026-42897はOWA経由で細工されたメールにより任意のJavaScript実行を可能にするXSS脆弱性で既に攻撃での悪用が確認されている。Exchange 2016・2019・SEが影響を受け恒久パッチは未提供で、Exchange Emergency Mitigation Serviceによる緩和策の適用が推奨される。,daily-news/news/2026_04-06/20260516.md,https://www.bleepingcomputer.com/news/microsoft/microsoft-warns-of-exchange-zero-day-flaw-exploited-in-attacks/,high,false,yes
2026-05-16_teampcp_mistral_ai_repo_extortion,2026-05-16,2026-W20,2026-05,incident,TeamPCP、Mistral AIのコードリポジトリ約450件を窃取し販売・漏えい脅迫,"TeamPCPはMistral AI関連プロジェクトの約450リポジトリを2万5,000ドルで販売すると宣伝。Shai-Huludサプライチェーン攻撃でCI/CD認証情報が盗まれたことにより侵害が始まり、Mistral AIはコードベース管理システムへの侵害を認めた。",daily-news/news/2026_04-06/20260516.md,https://www.bleepingcomputer.com/news/security/teampcp-hackers-advertise-mistral-ai-code-repos-for-sale/,high,false,yes
2026-05-16_burst_statistics_wp_cve_2026_8181_auth_bypass,2026-05-16,2026-W20,2026-05,active_exploitation,Burst Statistics WordPressプラグイン CVE-2026-8181認証バイパスが悪用,"REST APIリクエストで管理者になりすませる認証バイパス脆弱性CVE-2026-8181が悪用されている。未認証の攻撃者が有効な管理者ユーザー名を知っていれば不正に管理者アカウントを作成可能で、Wordfenceは24時間で7,400件超の攻撃をブロックしており修正版3.4.2が公開済み。",daily-news/news/2026_04-06/20260516.md,https://www.bleepingcomputer.com/news/security/hackers-exploit-auth-bypass-flaw-in-burst-statistics-wordpress-plugin/,high,false,no
2026-05-16_shai_hulud_malware_npm_cicd_analysis,2026-05-16,2026-W20,2026-05,malware_campaign,Shai-Huludマルウェア詳細分析: npmとCI/CDを狙う自己伝播型認証情報窃取マルウェア,Shai-HuludはGitHub ActionsやCI/CD環境を主対象とする自己伝播型マルウェアで、GitHubトークン・AWS・Kubernetesシークレットを収集し暗号化してTanStackを装うC2ドメインへ送信する。TeamPCPがソースコードをGitHubで公開したことで第三者による亜種作成が容易になっている。,daily-news/news/2026_04-06/20260516.md,https://slowmist.medium.com/shai-hulud-malware-in-depth-analysis-open-source-means-loss-of-control-ca49cdc06bf7,high,false,yes
