event_key,dimension,raw_value,normalized_value,confidence,note
2026-07-18_hollowbyte_openssl_dos_vulnerability,initial_access,DoS脆弱性のためネットワーク経由の侵入口ではない,not_applicable,medium,DoS脆弱性で侵入経路の概念に該当しないため
2026-07-18_hollowbyte_openssl_dos_vulnerability,product,OpenSSL,openssl,high,
2026-07-18_hollowbyte_openssl_dos_vulnerability,attack_method,HollowByte DDoS脆弱性(11バイトのペイロードでメモリを膨張させサービス拒否状態にする),ddos,high,記事タイトルでもDDoS脆弱性と表現
2026-07-18_ernst_young_support_system_breach,initial_access,第三者製サポートチケットシステムへの不正アクセス,unknown,medium,侵入手法の詳細記載なし
2026-07-18_ernst_young_support_system_breach,actor_attribution,攻撃者の国、組織、動機は不明,unknown,medium,記事内で明記
2026-07-18_ernst_young_support_system_breach,attack_method,顧客の税務情報を含む複数の文書をダウンロード,data_exfiltration,high,
2026-07-18_legacyhive_windows_zero_day,initial_access,非管理者ユーザーによるローカルの権限昇格,not_applicable,medium,ローカル権限昇格でありネットワーク経由の初期アクセス手法ではない
2026-07-18_legacyhive_windows_zero_day,actor_attribution,セキュリティ研究者Nightmare EclipseによるPoC公開,security_researcher,high,
2026-07-18_legacyhive_windows_zero_day,product,Windows User Profile Service,windows_user_profile_service,high,
2026-07-18_legacyhive_windows_zero_day,product_class,最新のWindows,os,high,
2026-07-18_legacyhive_windows_zero_day,attack_method,別ユーザーのレジストリハイブを読み込ませ管理者権限を取得,privilege_escalation,high,
2026-07-18_us_investment_fraud_money_laundering_charges,actor_attribution,資金洗浄共謀の犯罪ネットワーク,cybercrime,high,
2026-07-18_us_investment_fraud_money_laundering_charges,crime_trend,投資詐欺で盗まれた資金の洗浄,investment_scam,high,
2026-07-18_fortinet_fortisandbox_active_exploitation,initial_access,認証不要の低複雑度な脆弱性を遠隔から悪用,exploit_public_facing_app,high,
2026-07-18_fortinet_fortisandbox_active_exploitation,product,Fortinet FortiSandbox,fortisandbox,high,
2026-07-18_fortinet_fortisandbox_active_exploitation,product_class,FortiSandbox(サンドボックス型セキュリティ製品),security_tool,medium,
2026-07-18_fortinet_fortisandbox_active_exploitation,attack_method,認証不要な低複雑度のコマンドインジェクション,command_injection,high,
2026-07-18_fortinet_fortisandbox_active_exploitation,attack_method,遠隔から不正なコードを実行される可能性,remote_code_execution,medium,
2026-07-18_clicklock_macos_stealer_campaign,initial_access,偽のCloudflare認証を装うClickFix型の誘導,phishing,medium,
2026-07-18_clicklock_macos_stealer_campaign,crime_trend,ClickFix型の誘導から始まる攻撃,clickfix,high,
2026-07-18_clicklock_macos_stealer_campaign,malware,ClickLock,clicklock,high,
2026-07-18_clicklock_macos_stealer_campaign,product_class,macOS,os,medium,
2026-07-18_clicklock_macos_stealer_campaign,attack_method,ブラウザ認証情報、Cookie、暗号資産ウォレット等を収集,credential_theft,high,
2026-07-18_clicklock_macos_stealer_campaign,attack_method,永続的な遠隔アクセス用バックドアを設置,backdoor,high,
2026-07-18_phantomenigma_brazil_government_sites_campaign,actor,PhantomEnigma,phantomenigma,high,
2026-07-18_phantomenigma_brazil_government_sites_campaign,initial_access,警察や公的文書を装ったメール、QRコード、偽サイト,phishing,high,
2026-07-18_phantomenigma_brazil_government_sites_campaign,attack_method,Node.jsバックドアを導入,backdoor,high,
2026-07-18_phantomenigma_brazil_government_sites_campaign,attack_method,端末情報収集と永続化を実施,persistence,medium,
2026-07-18_phantomenigma_brazil_government_sites_campaign,actor_attribution,銀行・公共機関を狙う金銭目的の犯罪活動と評価,cybercrime,medium,
2026-07-18_acr_stealer_intrusion_chains_campaign,malware,ACR Stealer,acr_stealer,high,
2026-07-18_acr_stealer_intrusion_chains_campaign,malware,Amatera Stealer,amatera_stealer,medium,ACR Stealerの改称元とされる
2026-07-18_acr_stealer_intrusion_chains_campaign,crime_trend,ClickFixを起点とする攻撃増加,clickfix,high,
2026-07-18_acr_stealer_intrusion_chains_campaign,crime_trend,MaaS型情報窃取マルウェア,malware_as_a_service,high,
2026-07-18_acr_stealer_intrusion_chains_campaign,attack_method,ブラウザのパスワード、Cookie、認証トークンを窃取,credential_theft,high,
2026-07-18_acr_stealer_intrusion_chains_campaign,attack_method,場合によりブロックチェーンでC2を解決,c2_communication,medium,
2026-07-18_vitevenom_npm_malware_vite_ecosystem,malware,ViteVenom,vitevenom,high,
2026-07-18_vitevenom_npm_malware_vite_ecosystem,malware,ChainVeil,chainveil,medium,同一運用者と評価される先行キャンペーン
2026-07-18_vitevenom_npm_malware_vite_ecosystem,initial_access,正規のVite関連パッケージを装う悪意あるnpmパッケージ,supply_chain,high,
2026-07-18_vitevenom_npm_malware_vite_ecosystem,product,Vite,vite,high,
2026-07-18_vitevenom_npm_malware_vite_ecosystem,product_class,npmパッケージエコシステム,package_ecosystem,high,
