event_key,dimension,raw_value,normalized_value,confidence,note
2026-07-09_venomrat_malspam_campaign,initial_access,日本語のマルスパム(電子インボイス発行完了のお知らせ),malspam,high,件名を偽装したマルスパムが配布経路
2026-07-09_venomrat_malspam_campaign,malware,VenomRAT,venomrat,high,配布された最終マルウェア
2026-07-09_venomrat_malspam_campaign,attack_method,通信先(C2)への通信,c2_communication,high,複数のC2 IPへ通信
2026-07-09_venomrat_malspam_campaign,attack_method,正規exeへのDLLサイドローディング,defense_evasion,medium,署名済み正規ファイルを使ったサイドローディングで検知回避
2026-07-09_valleyrat_malspam_campaign,initial_access,日本語のマルスパム(税務コンプライアンス違反通知),malspam,high,件名を偽装したマルスパムが配布経路
2026-07-09_valleyrat_malspam_campaign,malware,ValleyRAT,valleyrat,high,配布された最終マルウェア
2026-07-09_valleyrat_malspam_campaign,attack_method,レジストリRunキー登録,persistence,high,Runキーへの登録で永続化
2026-07-09_valleyrat_malspam_campaign,attack_method,通信先(C2)への通信,c2_communication,high,複数のC2へ通信
2026-07-09_valleyrat_malspam_campaign,attack_method,DLLサイドローディング,defense_evasion,medium,DLLサイドローディングで検知回避
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,initial_access,悪性npm/PyPIパッケージ,supply_chain,high,パッケージエコシステムを悪用した配布
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,product_class,npm・PyPI,package_ecosystem,high,対象がパッケージエコシステム
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,product,Paysafe,paysafe,medium,偽装されたSDK対象サービス
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,product,Skrill,skrill,medium,偽装されたSDK対象サービス
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,product,Neteller,neteller,medium,偽装されたSDK対象サービス
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,attack_method,悪性パッケージの公開,malicious_package,high,17個の悪性パッケージを公開
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,attack_method,認証情報・トークンの窃取,credential_theft,high,APIキー・トークン等を窃取
2026-07-09_fake_paysafe_skrill_npm_pypi_packages,attack_method,AWS上のC2への送信,c2_communication,medium,窃取データをAWS上のC2へ送信
2026-07-09_entra_passkey_vishing_pink,actor,O-UNC-066,o_unc_066,medium,Oktaによる呼称
2026-07-09_entra_passkey_vishing_pink,actor,Pink,pink,high,Unit 42による呼称、The Com関連の恐喝ブランド
