event_key,dimension,raw_value,normalized_value,confidence,note
2026-06-17_rokarolla_android_banking_malware,malware,Rokarolla,rokarolla,high,
2026-06-17_rokarolla_android_banking_malware,product_class,mobile app (Android),mobile_app,high,
2026-06-17_rokarolla_android_banking_malware,initial_access,drive-by download via malicious site,drive_by_download,high,悪性サイトでChrome/TikTok偽装APKを配布
2026-06-17_rokarolla_android_banking_malware,attack_method,credential theft via overlay,credential_theft,high,偽ログイン画面で認証情報・カード情報窃取
2026-06-17_rokarolla_android_banking_malware,attack_method,C2 communication,c2_communication,high,複数のフォールバックC2ドメインに通信
2026-06-17_rokarolla_android_banking_malware,attack_method,defense evasion (Google Play Protect impersonation),defense_evasion,high,Google Play Protectを装いインストール時に権限取得
2026-06-17_rokarolla_android_banking_malware,crime_trend,crypto theft,crypto_theft,high,暗号資産関連217アプリが標的
2026-06-17_steam_workshop_wallpaper_engine_malware,product,Wallpaper Engine,wallpaper_engine,high,
2026-06-17_steam_workshop_wallpaper_engine_malware,product,Steam Workshop,steam_workshop,high,
2026-06-17_steam_workshop_wallpaper_engine_malware,product_class,cloud service (gaming platform),cloud_service,medium,Steam WorkshopはValveのクラウドコンテンツ配布基盤
2026-06-17_steam_workshop_wallpaper_engine_malware,malware,DarkKomet,darkkomet,high,
2026-06-17_steam_workshop_wallpaper_engine_malware,malware,Lumma,lumma,high,
2026-06-17_steam_workshop_wallpaper_engine_malware,malware,Vidar,vidar,high,
2026-06-17_steam_workshop_wallpaper_engine_malware,malware,RanEngine,ranengine,high,
2026-06-17_steam_workshop_wallpaper_engine_malware,initial_access,supply chain (Steam Workshop content),supply_chain,high,信頼されたSteamコンテンツ配布経路を悪用
2026-06-17_steam_workshop_wallpaper_engine_malware,attack_method,backdoor (DarkKomet),backdoor,high,DarkKometバックドアが導入された
2026-06-17_steam_workshop_wallpaper_engine_malware,attack_method,C2 communication,c2_communication,high,
2026-06-17_steam_workshop_wallpaper_engine_malware,attack_method,supply chain compromise via platform content,supply_chain_compromise,high,Steam Workshopコンテンツ経由のマルウェア配布
2026-06-17_ftc_imposter_scam_35_billion_losses_2025,attack_method,spoofing (impersonation of banks/government/companies),spoofing,high,銀行・政府機関・企業になりすます詐欺
2026-06-17_ftc_imposter_scam_35_billion_losses_2025,crime_trend,vishing (phone-based imposter scam),vishing,high,電話を使ったなりすまし詐欺が高額被害の主因
2026-06-17_ftc_imposter_scam_35_billion_losses_2025,crime_trend,smishing (SMS-based contact),smishing,medium,SMS経由での接触も確認
2026-06-17_cpanel_litespeed_cve_2026_54420_active_exploitation,product,LiteSpeed cPanel user-end plugin,litespeed_cpanel_user_end_plugin,high,
2026-06-17_cpanel_litespeed_cve_2026_54420_active_exploitation,product_class,web server management plugin,web_server,high,cPanel/LiteSpeedはWebサーバー管理基盤
2026-06-17_cpanel_litespeed_cve_2026_54420_active_exploitation,initial_access,exploit public-facing app,exploit_public_facing_app,high,インターネット公開サーバーのプラグイン脆弱性悪用
2026-06-17_cpanel_litespeed_cve_2026_54420_active_exploitation,attack_method,privilege escalation to root via symlink traversal,privilege_escalation,high,UNIXシンボリックリンク追跡の弱点でroot昇格
2026-06-17_dragonforce_teams_relay_backdoor_turn,actor,DragonForce,dragonforce,high,
