event_key,dimension,raw_value,normalized_value,confidence,note
2026-06-23_jp_malspam_formbook,initial_access,マルスパム（見積依頼メール添付）,malspam,high,
2026-06-23_jp_malspam_formbook,malware,Formbook,formbook,high,
2026-06-23_jp_malspam_formbook,attack_method,悪性添付ファイル（ZIP）,malicious_document,high,
2026-06-23_jp_malspam_formbook,attack_method,Process Hollowing（aspnet_compiler.exe）,process_injection,high,
2026-06-23_jp_malspam_formbook,attack_method,C2通信,c2_communication,high,
2026-06-23_jp_malspam_gh0strat,initial_access,マルスパム（LimeWireリンク添付）,malspam,high,
2026-06-23_jp_malspam_gh0strat,malware,Gh0stRAT系,gh0strat,high,
2026-06-23_jp_malspam_gh0strat,attack_method,C2通信（206.238.196.96:1234）,c2_communication,high,
2026-06-23_jp_malspam_unknown_malware,initial_access,マルスパム（請求書リンク）,malspam,high,
2026-06-23_jp_malspam_unknown_malware,malware,不明なマルウェア,unknown,low,マルウェアタイプ不明
2026-06-23_fortibleed_fortigate_credential_theft,product,FortiGate,fortigate,high,
2026-06-23_fortibleed_fortigate_credential_theft,product_class,FortiGate（ファイアウォール）,firewall,high,
2026-06-23_fortibleed_fortigate_credential_theft,initial_access,クレデンシャルスタッフィング・ブルートフォース,stolen_credentials,high,
2026-06-23_fortibleed_fortigate_credential_theft,initial_access,公開FortiGate管理インターフェース,exposed_remote_service,high,
2026-06-23_fortibleed_fortigate_credential_theft,attack_method,カスタムスニファーFortigateSniffer,credential_theft,high,
2026-06-23_fortibleed_fortigate_credential_theft,crime_trend,クレデンシャルスタッフィング攻撃,credential_stuffing,high,
2026-06-23_fortibleed_fortigate_credential_theft,actor_attribution,初期アクセスブローカー（金銭目的）,cybercrime,medium,ロシア語話者の可能性が示唆されるが確証なし
2026-06-23_autojack_autogen_studio_rce,product,AutoGen Studio,autogen_studio,high,
2026-06-23_autojack_autogen_studio_rce,product_class,AIエージェント・LLMアプリ,ai_tool,high,
2026-06-23_autojack_autogen_studio_rce,attack_method,任意コマンド実行（Autojack）,remote_code_execution,high,
2026-06-23_autojack_autogen_studio_rce,attack_method,悪意あるWebページによるAIエージェント誘導,prompt_injection,high,
2026-06-23_oxloader_castlestealer_campaign,malware,OXLOADER,oxloader,high,
2026-06-23_oxloader_castlestealer_campaign,malware,CASTLESTEALER,castlestealer,high,
2026-06-23_oxloader_castlestealer_campaign,initial_access,Node.jsを装う悪意あるGoogle広告,drive_by_download,high,
2026-06-23_oxloader_castlestealer_campaign,attack_method,難読化・VM回避・サンドボックス回避,defense_evasion,high,
2026-06-23_oxloader_castlestealer_campaign,attack_method,DonutLoader経由のメモリ内実行,process_injection,high,
2026-06-23_oxloader_castlestealer_campaign,attack_method,C2通信（CASTLESTEALER）,c2_communication,high,
2026-06-23_oxloader_castlestealer_campaign,actor_attribution,金銭目的（CIS地域除外・ロシア語話者示唆）,cybercrime,medium,国籍・グループ名は特定されていない
2026-06-23_squidbleed_cve_2026_47729,product,Squid,squid,high,
2026-06-23_squidbleed_cve_2026_47729,product_class,Squid Proxy（プロキシ）,web_server,medium,Squid ProxyはWebサーバー分類に含めた
2026-06-23_dprk_it_worker_employment_fraud,actor_attribution,DPRK国家支援セル,nation_state,high,
2026-06-23_dprk_it_worker_employment_fraud,crime_trend,偽求人・産業規模雇用詐欺,fake_job_recruitment,high,
2026-06-23_dprk_it_worker_employment_fraud,attack_method,AI支援面接・偽身元情報の利用,social_engineering,high,
2026-06-23_libssh2_cve_2026_55200_rce,product,libssh2,libssh2,high,
2026-06-23_libssh2_cve_2026_55200_rce,attack_method,境界外書き込みによるリモートコード実行（CVE-2026-55200）,remote_code_execution,high,
2026-06-23_libssh2_cve_2026_55200_rce,attack_method,悪意あるSSHサーバーによるDoS（CVE-2026-55199）,ddos,high,
2026-06-23_steganographic_loader_remcos_rat,malware,Remcos RAT,remcos_rat,high,
2026-06-23_steganographic_loader_remcos_rat,initial_access,フィッシングメールのアーカイブ添付,malspam,high,
2026-06-23_steganographic_loader_remcos_rat,attack_method,ステガノグラフィ・ファイルレス手法による検知回避,defense_evasion,high,
2026-06-23_steganographic_loader_remcos_rat,attack_method,メモリ内実行,process_injection,high,
2026-06-23_steganographic_loader_remcos_rat,attack_method,C2通信（Remcos）,c2_communication,high,
2026-06-23_asoview_reservation_system_breach,initial_access,不明,unknown,low,侵害経路は記載なし
2026-06-23_shimane_highschool_support_scam,crime_trend,サポート詐欺,vishing,high,
2026-06-23_shimane_highschool_support_scam,attack_method,サポート詐欺（ソーシャルエンジニアリング）,social_engineering,high,
