event_key,dimension,raw_value,normalized_value,confidence,note
2026-06-01_wp_maps_pro_admin_creation_exploitation,initial_access,未認証AJAXエンドポイント悪用,exploit_public_facing_app,high,公開WordPressプラグインのAJAXエンドポイントを未認証で悪用
2026-06-01_wp_maps_pro_admin_creation_exploitation,product,WP Maps Pro,wp_maps_pro,high,
2026-06-01_wp_maps_pro_admin_creation_exploitation,product_class,WordPressプラグイン,wordpress_plugin,high,
2026-06-01_wp_maps_pro_admin_creation_exploitation,attack_method,未認証管理者アカウント作成,authentication_bypass,high,公開nonceのみで認証なしに管理者権限取得が可能
2026-06-01_palo_alto_globalprotect_auth_bypass_exploitation,initial_access,公開VPN機器の認証バイパス悪用,exposed_remote_service,high,公開されたGlobalProtect VPN GatewayへのCookie偽造による侵入
2026-06-01_palo_alto_globalprotect_auth_bypass_exploitation,product,Palo Alto PAN-OS GlobalProtect,palo_alto_pan_os_globalprotect,high,
2026-06-01_palo_alto_globalprotect_auth_bypass_exploitation,product_class,VPN,vpn,high,
2026-06-01_palo_alto_globalprotect_auth_bypass_exploitation,attack_method,認証バイパス（偽造Authentication Override Cookie）,authentication_bypass,high,CVE-2026-0257: 偽造CookieでGlobalProtect Gatewayへの認証をバイパス
2026-06-01_palo_alto_globalprotect_auth_bypass_exploitation,attack_method,偽造Authentication Override Cookie,spoofing,high,攻撃者が偽造CookieでVPN認証を詐称
2026-06-01_cifswitch_linux_privilege_escalation,product,Linux Kernel CIFS,linux_kernel,high,
2026-06-01_cifswitch_linux_privilege_escalation,product_class,OS (Linux),os,high,
2026-06-01_cifswitch_linux_privilege_escalation,attack_method,ローカル権限昇格（root取得）,privilege_escalation,high,偽造cifs.spnegoキー要求でroot権限のcifs.upcallを悪用
