event_key,date,week,month,event_type,title,summary,source_file,source_url,confidence,needs_review,monthly_followup_candidate
2026-03_arpa_ipv6_phishing_evasion,2026-03-09,2026-W11,2026-03,cybercrime_trend,.arpa DNS・IPv6逆引きを悪用したフィッシング防御回避,Infobloxは脅威アクターが.arpaドメインとIPv6逆引きDNSゾーンを悪用して評判ベースのフィッシング検知を回避するキャンペーンを報告した。TDSで標的選別を行いダングリングCNAME乗っ取りやサブドメインシャドーイングも確認され著名組織のサブドメイン悪用100件超が含まれる。,daily-news/news/2026_01-03/20260309.md,https://www.bleepingcomputer.com/news/security/hackers-abuse-arpa-dns-and-ipv6-to-evade-phishing-defenses/,high,false,no
2026-03_termite_clickfix_castlerat,2026-03-09,2026-W11,2026-03,malware_campaign,Velvet TempestがClickFixとCastleRATを展開・AD偵察や認証情報窃取を実施,MalBeaconはClickFix偽CAPTCHAとWindowsユーティリティを使いDonutLoaderとCastleRATを展開するVelvet Tempestの侵害活動を観測した。悪性広告経由のClickFix・AD偵察・Chrome認証情報窃取・PythonおよびPowerShellによる永続化が確認された。今回の観測ではTermiteランサムウェア本体の実行はなかった。,daily-news/news/2026_01-03/20260309.md,https://www.bleepingcomputer.com/news/security/termite-ransomware-breaches-linked-to-clickfix-castlerat-attacks/,high,false,maybe
2026-03_apt36_vibeware_ai_malware,2026-03-10,2026-W11,2026-03,security_research,APT36がAI支援でNim・Zig・Crystal製の多言語マルウェア亜種を量産しインド政府等を標的,BitdefenderはパキスタンAPT36がAI支援vibewareでNim・Zig・Crystal製亜種を量産していると分析した。Warcode・NimShellcodeLoader・SheetCreepなどがSlack・Discord・Google SheetsをC2に悪用し量産と多言語化で防御側を消耗させる手法が特徴。,daily-news/news/2026_01-03/20260310.md,https://businessinsights.bitdefender.com/apt36-nightmare-vibeware,high,false,yes
2026-03_cl_unk_1068_espionage,2026-03-10,2026-W11,2026-03,security_research,CL-UNK-1068が2020年以降南・東南アジアの航空・エネルギー・政府・通信を標的にサイバースパイ活動,Unit 42はCL-UNK-1068として追跡する未文書化の中国系スパイ活動を分析した。WebシェルでSQL設定・認証情報を窃取しWinRARとcertutil/typeで持ち出した。Mimikatz・FRP・DLLサイドローディング・PwnKitを使い分けVMware vCenter露出が侵入起点とみられる。,daily-news/news/2026_01-03/20260310.md,https://unit42.paloaltonetworks.com/cl-unk-1068-targets-critical-sectors/,high,false,yes
2026-03_clipxdaemon_linux_clipboard_hijacker,2026-03-10,2026-W11,2026-03,malware_campaign,ClipXDaemonがLinux X11環境で暗号資産ウォレットアドレスをクリップボードで差し替える,CybleはLinux X11環境でBincrypter系ローダーを経て展開されるクリップボードハイジャッカーClipXDaemonを確認した。Ethereum・Bitcoin・Monero等6種以上のウォレットアドレスを置換しC2を持たないオフライン完結型で~/.profileで永続化する。,daily-news/news/2026_01-03/20260310.md,https://cyble.com/blog/clipxdaemon-autonomous-x11-clipboard-hijacker/,high,false,no
2026-03_ericsson_us_data_breach,2026-03-10,2026-W11,2026-03,incident,エリクソン米国法人がサービスプロバイダー侵害経由の従業員・顧客データ漏えいを公表,"Ericsson米国法人は2025年4月に侵害されたサービスプロバイダーから従業員・顧客の個人情報が漏えいしたと公表した。テキサス州だけで4,377人が影響を受け氏名・住所・SSN・免許証番号・金融・医療情報が含まれ得る。",daily-news/news/2026_01-03/20260310.md,https://www.bleepingcomputer.com/news/security/ericsson-us-discloses-data-breach-after-service-provider-hack/,high,false,no
2026-03_fbi_municipal_official_phishing,2026-03-10,2026-W11,2026-03,cybercrime_trend,FBIが米国の市・郡当局者なりすましで許認可申請者を狙う電子送金詐欺を警告,FBIは公開情報で本物らしく見せた許可情報を含むメールで米国の市・郡の計画・ゾーニング当局者を装い許認可申請中の企業・個人に手数料支払いを求める詐欺を警告した。電信送金・P2P決済・暗号資産での支払いが指定されており急ぎを促す手口が確認されている。,daily-news/news/2026_01-03/20260310.md,https://www.bleepingcomputer.com/news/security/fbi-warns-of-phishing-attacks-impersonating-us-city-county-officials/,high,false,no
2026-03_shinyhunters_salesforce_aura,2026-03-10,2026-W11,2026-03,active_exploitation,ShinyHuntersがSalesforce Aura API設定不備を悪用して約100社のデータ窃取を進行中,ShinyHuntersは2025年9月からSalesforce Experience CloudのAura API設定不備（ゲストユーザー過剰権限）を悪用し約100社300〜400組織のデータを窃取していると主張した。AuraInspector改変版による大規模スキャンとGraphQL API制限回避も確認されている。,daily-news/news/2026_01-03/20260310.md,https://www.bleepingcomputer.com/news/security/shinyhunters-claims-ongoing-salesforce-aura-data-theft-attacks/,high,false,yes
2026-03_shotbird_chrome_extension_supply_chain,2026-03-10,2026-W11,2026-03,supply_chain,ShotBird Chrome拡張機能が所有権移転後に悪性化・偽Chrome更新でPowerShell実行とデータ窃取,Chrome Webストア掲載のShotBird拡張機能が所有権移転後にC2制御のマルウェア配信チャネルへ変質した。偽Chrome更新画面注入・パスワード/カード情報等の入力窃取・偽googleupdate.exe経由のPowerShellステージャ実行が確認された。,daily-news/news/2026_01-03/20260310.md,https://monxresearch-sec.github.io/shotbird-extension-malware-report/,high,false,maybe
2026-03_vip_keylogger_maas_campaign,2026-03-10,2026-W11,2026-03,malware_campaign,MaaS型VIP_Keyloggerがスピアフィッシングメールから多段階ローダーを経てメモリ上で展開,K7 Labsはスピアフィッシング添付RARからステガノグラフィやAES暗号化ペイロードを経てVIP_KeyloggerをAMSI/ETWを無効化しメモリ上で展開するMaaSキャンペーンを確認した。ブラウザ・メール・Discord等から認証情報を窃取しSMTPで外部送信する。,daily-news/news/2026_01-03/20260310.md,https://labs.k7computing.com/index.php/maas-vip_keylogger-campaign/,high,false,maybe
2026-03_apt28_covenant_customized,2026-03-11,2026-W11,2026-03,security_research,APT28がCovenantカスタマイズ版とBeardShellでウクライナ軍・行政機関を長期監視,ESETはAPT28が2024年4月以降BeardShell・改変Covenant・SlimAgentを使いウクライナ軍関係者を長期監視していたと分析した。最近の攻撃ではCVE-2026-21509を悪用する悪性DOCファイルが使われ改変版CovenantはFilenクラウド通信と端末識別子を追加している。,daily-news/news/2026_01-03/20260311.md,https://www.bleepingcomputer.com/news/security/apt28-hackers-deploy-customized-variant-of-covenant-open-source-tool/,high,false,yes
2026-03_china_apt_qatar_espionage,2026-03-11,2026-W11,2026-03,security_research,中国系APTが2026年3月の中東情勢急変に合わせてカタール組織を複数の手口で標的,Check Point Researchは2026年3月1日以降Camaro Dragon系の中国系APTがカタール組織を狙う活動を複数確認した。バーレーン米軍基地攻撃LNK経由Baidu NetDisk DLLハイジャックでPlugXを展開したケースとAI生成ルアー付きZIPからNVDA DLLハイジャックでCobalt Strikeを展開したケースがある。,daily-news/news/2026_01-03/20260311.md,https://blog.checkpoint.com/research/china-nexus-activity-against-qatar-observed-amid-expanding-regional-tensions/,high,false,yes
2026-03_dutch_signal_whatsapp_hijacking,2026-03-11,2026-W11,2026-03,cybercrime_trend,オランダMIVD/AIVDがロシア政府支援によるSignal/WhatsAppアカウント乗っ取り攻撃を警告,オランダのMIVDとAIVDは政府関係者・軍関係者・記者を狙うロシア政府支援ハッカーによるSignal/WhatsAppアカウント乗っ取り攻撃を警告した。偽Signalサポートチャットや悪性QRコードで正規の端末リンク機能を悪用し被害者の会話を密かに同期する手口が確認された。,daily-news/news/2026_01-03/20260311.md,https://www.bleepingcomputer.com/news/security/dutch-govt-warns-of-signal-whatsapp-account-hijacking-attacks/,high,false,maybe
2026-03_hpe_aos_cx_cve_2026_23813,2026-03-11,2026-W11,2026-03,vulnerability_advisory,HPE AOS-CXスイッチのCVE-2026-23813が未認証の遠隔管理者パスワードリセットを許可,HPEはAruba Networking AOS-CXスイッチのWebベース管理インターフェースに未認証遠隔攻撃者が管理者パスワードをリセットできるCVE-2026-23813を修正した。修正前の緩和策として管理インターフェースの分離・信頼済みホストのみのアクセス制御・不要なHTTP管理機能の無効化が案内された。,daily-news/news/2026_01-03/20260311.md,https://www.bleepingcomputer.com/news/security/hpe-warns-of-critical-aos-cx-flaw-allowing-admin-password-resets/,high,false,maybe
