ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
url,https://cctvv2.com/panel,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. C2 panel URL listed in the ToxicPanda 2.0 IOC repository.,AI agent,medium
url,https://www.v17001.com/panel,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. C2 panel URL listed in the ToxicPanda 2.0 IOC repository.,AI agent,medium
url,https://www.w17907.com/panel,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. C2 panel URL listed in the ToxicPanda 2.0 IOC repository.,AI agent,medium
url,https://g8688808.com,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. C2 panel URL listed in the ToxicPanda 2.0 IOC repository.,AI agent,medium
domain,cctvv2.com,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. Host name of a ToxicPanda 2.0 C2 panel URL published by Zimperium.,AI agent,medium
domain,www.v17001.com,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. Host name of a ToxicPanda 2.0 C2 panel URL published by Zimperium.,AI agent,medium
domain,www.w17907.com,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. Host name of a ToxicPanda 2.0 C2 panel URL published by Zimperium.,AI agent,medium
domain,g8688808.com,2026-08-19,c2,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/c2.csv,AI generated. Host name of a ToxicPanda 2.0 C2 panel URL published by Zimperium.,AI agent,medium
url,http://xcmtxc1oam1.s3.ap-south-1.amazonaws.com,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
url,https://ui920fht4m1.s3.mx-central-1.amazonaws.com/,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
url,https://googleplaydown.com/dUyFpz0Ai7Sp,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
url,https://api.telegram.org/file/bot8331125434:AAEsxWq7_xZWUjN0IFLO3fTU54ZCBnZS4YI/documents/file_22526.apk,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
url,https://api.telegram.org/file/bot8978201863:AAG4vnsJVOAbABfF6dXhhM8YJ14pd5LaxVw/documents/file_1389.apk,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
url,https://osy4u8pmu.s3.ap-southeast-1.amazonaws.com/,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
url,https://ejjsi5fbl.s3.ap-southeast-1.amazonaws.com/,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
url,https://svhc5arco.s3.ap-southeast-1.amazonaws.com/,2026-08-19,phishing-site,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/phishing.csv,AI generated. Distribution URL serving the ToxicPanda 2.0 APK or overlay content.,AI agent,medium
file_hash_sha256,3c76887d942a2a1c02455070887e14015ea9fe63fc9e4777bfbc633ba29601d5,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,6174d8867e02177913dd28e17e67aac03a0be80f6cf2640a53a2ec8dd68c8f03,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,6ca69f5ecdfefb9e267745407b4400534dcacf25b500ac88a40ad267ab86b336,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,5890f6378baf86d74d0cfdc9ed6a46f9e769da12512d645eb6f1d8a868b349ea,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,e8a4d5ad6fdf97ebd647f6e4ab218c18bb624114d445785b9579a80427ae6d67,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,da240b9352248448e3875c9a47679070c42801a0c426d2daba3854470d99bd43,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,6a622b79aa2634b0ce77b6d2126ab575a8225f79b4c4c3b05cf520738a2b874b,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,a6a9babbd8c3ffd0801ccdaded12b55b7a3195289337a22145f0e4ece7984cbf,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,35e7357982afa73e75e23b5be7e0cf550059f0a2b30cc499f60e24a8185abf6d,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,ce65703cd7cca1f110494588b697dbd1d682be4f162437b1ee03c1aad4b24692,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,f5557345f710d937cb1f61bdb11f6409b24416bb7d32bf4465f98439b079a291,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,9b33c1f05f1c3cfce73b08ce7f480623611096492d427b5e71221622b5cd95ef,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,95ccc098982c6b48abe0038cdd1f15c4bc1ed5cd95b569d58c59072fe4d0bb57,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,051942c62e42763b18f55397e8019286c0feaff024a627d06acdf3dd1789b9bf,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,72a8fe68b4af92d3a45bfc38fa6a0c823fe82369c301f48a374451107b244368,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,b0b6f720d82a6f63376611334fc3c2db88e7ad89594473513de5d9601291cb07,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
file_hash_sha256,dd80e4a86448d7b85387fdae9e932c7803477bcc0846650e6748b87a1787d8da,2026-08-19,malware,unknown,unknown,ToxicPanda,trojan,https://github.com/Zimperium/IOC/tree/master/2026-08-ToxicPanda/apks.csv,AI generated. SHA256 of a ToxicPanda 2.0 malicious APK listed by Zimperium.,AI agent,medium
