ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
url,https://cdn10.sendibt1.com/p/wm.zip,2026-09-14,c2,unknown,unknown,unknown,unknown,https://www.bleepingcomputer.com/news/security/brevo-supply-chain-attack-injected-clickfix-scripts-on-customer-sites/,AI generated. Attacker-created hostname on a Brevo-owned domain serving the malicious Web Media Optimizer WordPress plugin.,AI agent,medium
url,https://yelahaye.surf,2026-09-14,c2,unknown,unknown,unknown,unknown,https://www.bleepingcomputer.com/news/security/brevo-supply-chain-attack-injected-clickfix-scripts-on-customer-sites/,AI generated. Attacker-controlled site distributing the malicious WordPress plugin and injected scripts.,AI agent,medium
url,https://boiseno.club,2026-09-14,c2,unknown,unknown,unknown,unknown,https://www.bleepingcomputer.com/news/security/brevo-supply-chain-attack-injected-clickfix-scripts-on-customer-sites/,AI generated. Attacker-controlled site distributing the malicious WordPress plugin and injected scripts.,AI agent,medium
url,https://glegchner.com/ads.php,2026-09-14,c2,unknown,unknown,unknown,unknown,https://www.bleepingcomputer.com/news/security/brevo-supply-chain-attack-injected-clickfix-scripts-on-customer-sites/,AI generated. C2 endpoint contacted by the backdoored WordPress plugin to retrieve additional JavaScript URLs.,AI agent,medium
url,https://corralos.beer/a412dkoq.js,2026-09-14,c2,unknown,unknown,unknown,unknown,https://www.bleepingcomputer.com/news/security/brevo-supply-chain-attack-injected-clickfix-scripts-on-customer-sites/,AI generated. JavaScript injected into compromised WordPress sites to display the ClickFix lure.,AI agent,medium
domain,nightmare-stresser.com,2026-09-17,c2,unknown,cybercrime,N/A,N/A,https://www.bleepingcomputer.com/news/security/fbi-seizes-nightmarestresser-service-linked-to-thousands-of-ddos-attacks/,AI generated. Domain of the NightmareStresser DDoS-for-hire service seized by the FBI.,AI agent,medium
domain,nightmarestresser.org,2026-09-17,c2,unknown,cybercrime,N/A,N/A,https://www.bleepingcomputer.com/news/security/fbi-seizes-nightmarestresser-service-linked-to-thousands-of-ddos-attacks/,AI generated. Domain of the NightmareStresser DDoS-for-hire service seized by the FBI.,AI agent,medium
file_hash_sha1,3209689e509205ccdb7e49062b7b407ddc23cac1,2026-09-17,related-file,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SHA-1 of a SparroWocky loader DLL listed in the ESET IOC repository.,AI agent,medium
file_hash_sha1,52c6646759cf6037bb17466203631c4bd794532f,2026-09-17,related-file,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SHA-1 of a SparroWocky loader DLL listed in the ESET IOC repository.,AI agent,medium
file_hash_sha1,99e7070b5af24a0fe1e6febe5954b03cb385e91f,2026-09-17,related-file,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SHA-1 of a SparroWocky loader DLL listed in the ESET IOC repository.,AI agent,medium
file_hash_sha1,44f0a22b143b79fa760bf31e14c8fff714c8a2a1,2026-09-17,malware,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SHA-1 of the SparroWocky backdoor payload listed in the ESET IOC repository.,AI agent,medium
file_hash_sha1,9aa9ff61bc63ccab9074fe837f39c980ca9ddc8c,2026-09-17,malware,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SHA-1 of the SparroWocky backdoor payload listed in the ESET IOC repository.,AI agent,medium
ip,38.54.57.17,2026-02-25,c2,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SparroWocky C&C server listed in the ESET IOC repository with this first-seen date.,AI agent,medium
ip,38.60.197.55,2026-03-16,c2,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SparroWocky C&C server listed in the ESET IOC repository with this first-seen date.,AI agent,medium
ip,38.60.209.106,2026-02-26,c2,FamousSparrow,china,SparroWocky,backdoor,https://github.com/eset/malware-ioc/tree/master/famoussparrow,AI generated. SparroWocky C&C server listed in the ESET IOC repository with this first-seen date.,AI agent,medium
