ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
file_hash_sha256,0e81d80b40eaacbf6cb1e817fb1824c30a824af5cb4faca4aa9b03fd506d480f,2026-09-21,malware,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. SHA256 of a backdoor listed in the IOC table of the primary source.,AI agent,medium
file_hash_sha256,0f6e757e82c4d91df5bd249f775b9970b59dee42cc0dfe40f879d77fc16821c6,2026-09-21,malware,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. SHA256 of a backdoor listed in the IOC table of the primary source.,AI agent,medium
file_hash_sha256,2ff2945b13a4cd0e9a65c85af29ea1539e162a516466c0de682dbf9f8a4000b1,2026-06-12,malware,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. SHA256 of the backdoor delivered during Ubiquiti UniFi OS exploitation.,AI agent,medium
domain,981666.xyz,2026-09-21,c2,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. C2 domain listed as a wildcard entry in the IOC table of the primary source.,AI agent,medium
domain,p3.981666.xyz,2026-06-12,c2,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. C2 host used by the delivered backdoor on port 6379.,AI agent,medium
ip,74.48.66.73,2026-06-12,c2,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. Staging server used to deliver the backdoor to targeted devices.,AI agent,medium
url,http://74.48.66.73:9860/ssh,2026-06-12,c2,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. Staging URL from which the backdoor was downloaded during exploitation.,AI agent,medium
ip,104.225.153.141,2026-09-21,c2,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. C2 IP address listed in the IOC table of the primary source.,AI agent,medium
ip,172.245.247.21,2026-09-21,srcip,Red Heron (medium confidence),china,unknown,backdoor,https://www.greynoise.io/blog/open-season-on-kapibala-attacker-steals-government-records-wordpress-exploitation,AI generated. Exploitation source IP listed in the IOC table of the primary source.,AI agent,medium
file_hash_sha256,250d4fa37488af9b025333fa17705573d721467b203765bc360890b4f5a90cd7,2026-09-22,malware,unknown,cybercrime,CLOSEDQUORUM,RAT,https://blog.talosintelligence.com/the-closed-quorum-inside-the-first-reported-autonomous-ai-c2-implant/,AI generated. SHA256 from the CLOSEDQUORUM developer build chain listed in the primary source.,AI agent,medium
