ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
ip,104.243.43.16,2026-07-15,c2,unknown,cybercrime,OkoBot,backdoor,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. SSH bot infrastructure supporting the OkoBot cryptocurrency-theft framework.,AI agent,medium
ip,104.243.32.213,2026-07-15,c2,unknown,cybercrime,OkoBot,backdoor,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. SSH bot infrastructure supporting the OkoBot cryptocurrency-theft framework.,AI agent,medium
ip,62.210.188.209,2026-07-15,c2,unknown,cybercrime,OkoBot,backdoor,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. SSH bot infrastructure supporting the OkoBot cryptocurrency-theft framework.,AI agent,medium
domain,2baserec2.guru,2026-07-15,c2,unknown,cybercrime,TookPS,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. TookPS downloader distribution domain used in the OkoBot campaign.,AI agent,medium
domain,recavb22.online,2026-07-15,c2,unknown,cybercrime,TookPS,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. TookPS downloader distribution domain used in the OkoBot campaign.,AI agent,medium
domain,kbeautyreviews.com,2026-07-15,c2,unknown,cybercrime,TookPS,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. TookPS downloader distribution domain used in the OkoBot campaign.,AI agent,medium
domain,coffeesaloon.online,2026-07-15,c2,unknown,cybercrime,TookPS,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. TookPS downloader distribution domain used in the OkoBot campaign.,AI agent,medium
domain,livewallpapers.online,2026-07-15,c2,unknown,cybercrime,Volume2,backdoor,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. Volume2 C2 server domain used in the OkoBot campaign.,AI agent,medium
domain,thatwascringe.com,2026-07-15,c2,unknown,cybercrime,Volume2,backdoor,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. Volume2 C2 server domain used in the OkoBot campaign.,AI agent,medium
domain,moonsand.store,2026-07-15,c2,unknown,cybercrime,SeedHunter,stealer,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. SeedHunter cryptocurrency wallet-theft C2 domain used in the OkoBot campaign.,AI agent,medium
file_hash_md5,B07D451EE65A1580F20A784C8F0E7A46,2026-07-15,malware,unknown,cybercrime,OkoBot dispatcher,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. protobuf.dll dispatcher component of the OkoBot framework.,AI agent,medium
file_hash_md5,187A1F68AE786E53D3831166DC84E6D2,2026-07-15,malware,unknown,cybercrime,OkoBot dispatcher,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. protobuf.dll dispatcher variant of the OkoBot framework.,AI agent,medium
file_hash_md5,D84E8DC509308523E0209D3CD3544619,2026-07-15,malware,unknown,cybercrime,OkoBot dispatcher,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. protobuf.dll dispatcher variant of the OkoBot framework.,AI agent,medium
file_hash_md5,83E6B8FCB92A0B13E109301F8FF649CF,2026-03-01,malware,unknown,cybercrime,OkoBot dispatcher,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. version.dll dispatcher variant observed from March 2026 onward.,AI agent,medium
file_hash_md5,7306885BB4C98F2A9F056104CF092BC9,2026-07-15,malware,unknown,cybercrime,OkoBot plugin,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. PowerShell wrapper plugin of the OkoBot framework.,AI agent,medium
file_hash_md5,B4C2E16CDB513BE4DC798F88E2527334,2026-07-15,malware,unknown,cybercrime,OkoBot plugin,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. CMD wrapper plugin of the OkoBot framework.,AI agent,medium
file_hash_md5,2157D2429124AD28DB7A26F2477CB985,2026-07-15,malware,unknown,cybercrime,OkoBot plugin,spyware,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. Environment enumerator plugin of the OkoBot framework.,AI agent,medium
file_hash_md5,77CECF5E2A622AE07D8AE9913457AB57,2026-07-15,malware,unknown,cybercrime,OkoBot plugin,dropper,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. Dropper plugin of the OkoBot framework.,AI agent,medium
file_hash_md5,E0C3BC27A65750E740C4F1719E531C7D,2026-07-15,malware,unknown,cybercrime,OkoBot plugin,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. Process injector plugin of the OkoBot framework.,AI agent,medium
file_hash_md5,3D2B43F91F65BFBF36A9C71B6B418876,2026-07-15,malware,unknown,cybercrime,OkoBot,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. ext_daemon.exe extension loader component of the OkoBot framework.,AI agent,medium
file_hash_md5,70FEF9FD6E351F4D53CFEEE8DCDFCD99,2026-07-15,malware,unknown,cybercrime,SeedHunter,stealer,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. seedhunter_x64.exe cryptocurrency wallet stealer sample.,AI agent,medium
file_hash_md5,ACD31C9941B6C1CABD4E45E6877B9038,2026-07-15,malware,unknown,cybercrime,OkoBot,spyware,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. keylog_x64.dll keylogger component sample.,AI agent,medium
file_hash_md5,DD52F5108A176C62AD807C327734AD12,2026-07-15,malware,unknown,cybercrime,OkoSpyware,spyware,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. oko.dll spyware component with video capture capability.,AI agent,medium
file_hash_md5,AC93A821617AEA1F56D4BC0BEF4AF327,2026-07-15,malware,unknown,cybercrime,OkoBot,loader,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,AI generated. HDUtil.exe launcher utility sample.,AI agent,medium
