date,source_file,source_line,ioc_type,ioc_value,normalized_type,normalized_value,host,category,actor,actor_attribute,malware,malware_type,reference,description,confidence
2026-05-04,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,4,domain,btcaimining.xyz,domain,btcaimining.xyz,btcaimining.xyz,phishing-site,unknown,unknown,N/A,N/A,https://www.ctm360.com/reports/femitbot-telegram-mini-apps-fraud-campaigns,AI generated. Domain used in FEMITBOT fake Bitcoin mining campaign.,medium
2026-05-04,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,5,domain,btcpoolok.cloud,domain,btcpoolok.cloud,btcpoolok.cloud,phishing-site,unknown,unknown,N/A,N/A,https://www.ctm360.com/reports/femitbot-telegram-mini-apps-fraud-campaigns,AI generated. Phishing domain linked to FEMITBOT backend infrastructure.,medium
2026-05-04,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,6,domain,cineotv.one,domain,cineotv.one,cineotv.one,phishing-site,unknown,unknown,N/A,N/A,https://www.ctm360.com/reports/femitbot-telegram-mini-apps-fraud-campaigns,AI generated. Domain used to impersonate a streaming service in FEMITBOT campaign.,medium
2026-05-04,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,3,domain,spiderpool.app,domain,spiderpool.app,spiderpool.app,phishing-site,unknown,unknown,N/A,N/A,https://www.ctm360.com/reports/femitbot-telegram-mini-apps-fraud-campaigns,AI generated. Phishing domain associated with FEMITBOT fraudulent infrastructure.,medium
2026-05-04,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,7,domain,youku.my,domain,youku.my,youku.my,phishing-site,unknown,unknown,N/A,N/A,https://www.ctm360.com/reports/femitbot-telegram-mini-apps-fraud-campaigns,AI generated. Domain used to impersonate Youku video platform in FEMITBOT campaign.,medium
2026-05-04,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,2,domain,zerocap.vip,domain,zerocap.vip,zerocap.vip,phishing-site,unknown,unknown,N/A,N/A,https://www.ctm360.com/reports/femitbot-telegram-mini-apps-fraud-campaigns,AI generated. Phishing domain used in FEMITBOT campaign via Telegram Mini Apps for cryptocurrency fraud.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260506.csv,60,domain,1980food.co.kr,domain,1980food.co.kr,1980food.co.kr,c2,APT37,north-korea,BirdCall,backdoor,https://www.welivesecurity.com/en/eset-research/rigged-game-scarcruft-compromises-gaming-platform-supply-chain-attack/,AI generated. Compromised South Korean site hosting Android BirdCall configuration.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,18,domain,abc.3mkorealtd.com,domain,abc.3mkorealtd.com,abc.3mkorealtd.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. ABCDoor C2 domain reported in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,23,domain,abc.doublemobile.com,domain,abc.doublemobile.com,abc.doublemobile.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. ABCDoor C2 domain reported in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,17,domain,abc.fetish-friends.com,domain,abc.fetish-friends.com,abc.fetish-friends.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. ABCDoor C2 domain reported in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,27,domain,abc.haijing88.com,domain,abc.haijing88.com,abc.haijing88.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. Phishing PDF and malware distribution domain in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,21,domain,abc.ilptour.com,domain,abc.ilptour.com,abc.ilptour.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. ABCDoor C2 domain reported in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,22,domain,abc.petitechanson.com,domain,abc.petitechanson.com,abc.petitechanson.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. ABCDoor C2 domain reported in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,19,domain,abc.sudsmama.com,domain,abc.sudsmama.com,abc.sudsmama.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. ABCDoor C2 domain reported in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260505.csv,20,domain,abc.woopami.com,domain,abc.woopami.com,abc.woopami.com,c2,Silver Fox,unknown,ABCDoor,backdoor,https://securelist.com/silver-fox-tax-notification-campaign/119575/,AI generated. ABCDoor C2 domain reported in the Silver Fox tax campaign.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260506.csv,66,domain,cndsoft.co.kr,domain,cndsoft.co.kr,cndsoft.co.kr,c2,APT37,north-korea,BirdCall,backdoor,https://www.welivesecurity.com/en/eset-research/rigged-game-scarcruft-compromises-gaming-platform-supply-chain-attack/,AI generated. Compromised South Korean site hosting shellcode.,medium
2026-05-05,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260506.csv,63,domain,colorncopy.co.kr,domain,colorncopy.co.kr,colorncopy.co.kr,c2,APT37,north-korea,BirdCall,backdoor,https://www.welivesecurity.com/en/eset-research/rigged-game-scarcruft-compromises-gaming-platform-supply-chain-attack/,AI generated. Compromised South Korean site hosting shellcode.,medium
