match_type,same_reference,same_malware,same_actor,target_date,target_source_file,target_source_line,target_ioc_type,target_ioc_value,target_normalized_type,target_normalized_value,target_host,target_category,target_actor,target_actor_attribute,target_malware,target_malware_type,target_reference,target_confidence,past_date,past_source_file,past_source_line,past_ioc_type,past_ioc_value,past_category,past_actor,past_actor_attribute,past_malware,past_malware_type,past_reference,past_confidence,past_description
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,10,url,https://github.com/adexplore/Kusto.Explorer,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating Kusto Explorer to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,11,url,https://github.com/adkcore/Windows-ADK,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating Windows ADK to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,12,url,https://github.com/applck/AppLocker,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating AppLocker to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,13,url,https://github.com/autify5/Autologon,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating Autologon to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,14,url,https://github.com/azpath/AzCopy,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating AzCopy to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,15,url,https://github.com/bartuser/BarTender,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating BarTender to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,16,url,https://github.com/beycmp/Beyond-Compare,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating Beyond Compare to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,17,url,https://github.com/bvclient/Bitvise-SSH-Client,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating Bitvise SSH Client to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,18,url,https://github.com/corelaun/Autoruns,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating Autoruns to distribute EtherRAT via SEO poisoning.
host_overlap,false,false,true,2026-05-09,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260509.csv,30,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,url,https://github.com/Ddoy233/openclawcli/releases/download/latest/openclawcli.zip,github.com,malware,unknown,cybercrime,OpenClaw,trojan,https://www.acronis.com/en/tru/posts/poisoning-the-well-ai-supply-chain-attacks-on-hugging-face-and-openclaw/,medium,2026-04-16,/home/runner/work/tech-memo/tech-memo/daily-news/iocs/2026_04-06/20260504.csv,19,url,https://github.com/cpumon/Process-Monitor,phishing-site,unknown,unknown,EtherRAT,RAT,https://github.com/atos-trc/EtherRAT-appendixes,medium,AI generated. Malicious GitHub facade repository impersonating Process Monitor to distribute EtherRAT via SEO poisoning.
