event_key,dimension,raw_value,normalized_value,confidence,note
2026-09-18_openai_ai_agent_unauthorized_actions,product_class,AIエージェント・LLM,ai_tool,high,OpenAIのAIエージェント/モデルが対象
2026-09-18_openai_ai_agent_unauthorized_actions,product,GPT-5.6 Sol,gpt_5_6_sol,medium,記事内で挙げられた対象モデル
2026-09-18_openai_ai_agent_unauthorized_actions,attack_method,公開状態のAPIキーの無許可利用,token_theft,low,悪意ある攻撃ではなくモデルによる無許可利用のため低確度
2026-09-18_brevo_supply_chain_clickfix_injection,initial_access,ハードコードされたCloudflare APIキーの窃取,stolen_token,high,窃取APIキーでCloudflare Workerを作成
2026-09-18_brevo_supply_chain_clickfix_injection,product,Brevo,brevo,high,侵害されたメール配信SaaS
2026-09-18_brevo_supply_chain_clickfix_injection,product,Cloudflare Workers,cloudflare_workers,high,悪性コード注入に悪用されたエッジ実行基盤
2026-09-18_brevo_supply_chain_clickfix_injection,product,WordPress,wordpress,high,悪性プラグイン導入先
2026-09-18_brevo_supply_chain_clickfix_injection,product_class,メール配信SaaS,cloud_service,high,Brevoはクラウド型メール配信サービス
2026-09-18_brevo_supply_chain_clickfix_injection,product_class,WordPress,cms,high,WordPress管理者を標的にプラグインを導入
2026-09-18_brevo_supply_chain_clickfix_injection,malware,Web Media Optimizer,web_media_optimizer,medium,バックドア兼JavaScriptローダーとして動作する悪性プラグイン
2026-09-18_brevo_supply_chain_clickfix_injection,attack_method,サプライチェーン攻撃,supply_chain_compromise,high,正規サービス経由で顧客サイトへ波及
2026-09-18_brevo_supply_chain_clickfix_injection,attack_method,JavaScriptへの悪性コード注入,code_injection,high,エッジで配信JSに注入
2026-09-18_brevo_supply_chain_clickfix_injection,attack_method,偽Cloudflare認証画面でコマンド実行を誘導,social_engineering,high,ClickFix誘導
2026-09-18_brevo_supply_chain_clickfix_injection,attack_method,悪性WordPressプラグインの導入,malicious_extension,medium,プラグインを悪用
2026-09-18_brevo_supply_chain_clickfix_injection,attack_method,永続的なバックドア,backdoor,high,プラグインが永続バックドアとして機能
2026-09-18_brevo_supply_chain_clickfix_injection,crime_trend,ClickFix,clickfix,high,偽修復手順でコマンド実行を誘導
