event_key,date,week,month,event_type,title,summary,source_file,source_url,confidence,needs_review,monthly_followup_candidate
2025-04_disgrasya_carding,2025-04-07,2025-W15,2025-04,cybercrime_trend,PyPI悪意パッケージ「disgrasya」がWooCommerce APIでカード情報検証,"PyPIに公開された「disgrasya」パッケージはWooCommerceのCyberSource決済ゲートウェイを悪用して盗難クレカの有効性を自動検証するカーディングツール。34,000回以上ダウンロードされた。",daily-news/news/2025_04-06/20250407.md,https://www.bleepingcomputer.com/news/security/carding-tool-abusing-woocommerce-api-downloaded-34k-times-on-pypi/,high,false,maybe
2025-04_dprk_npm_beavertail,2025-04-07,2025-W15,2025-04,supply_chain,北朝鮮ハッカーが11個のnpmパッケージでBeaverTailマルウェアを配布,"北朝鮮の脅威アクターがnpmに11個の悪意あるパッケージを公開しBeaverTailマルウェアとRATローダーを配布。5,600回以上ダウンロードされ開発者システムへの侵入と機密データ窃取が目的。",daily-news/news/2025_04-06/20250407.md,https://thehackernews.com/2025/04/north-korean-hackers-deploy-beavertail.html,high,false,yes
2025-04_ezpass_phishing,2025-04-07,2025-W15,2025-04,cybercrime_trend,E-ZPassフィッシング詐欺大規模再発生,E-ZPassや他の料金徴収機関を装ったSMS/iMessageフィッシング詐欺が大規模に再発生。被害者はリンクから個人情報やクレカ情報を盗むフィッシングサイトに誘導される。iMessageのリンク無効化機能を回避する手法も使用。,daily-news/news/2025_04-06/20250407.md,https://www.bleepingcomputer.com/news/security/toll-payment-text-scam-returns-in-massive-phishing-wave/,high,false,no
2025-04_winrar_motw_bypass,2025-04-07,2025-W15,2025-04,vulnerability_advisory,WinRAR CVE-2025-31334 Mark-of-the-Web回避脆弱性,WinRARにCVE-2025-31334の脆弱性が発見され特別に作成されたシンボリックリンクを用いてMark of the Webセキュリティ警告を回避し任意コードを実行可能。バージョン7.11で修正済み。,daily-news/news/2025_04-06/20250407.md,https://www.bleepingcomputer.com/news/security/winrar-flaw-bypasses-windows-mark-of-the-web-security-alerts/,high,false,no
2025-04_ai_investment_scam_arrest,2025-04-08,2025-W15,2025-04,incident,AI活用の仮想通貨投資詐欺グループ6人逮捕・被害約20億円,"スペイン警察がAI生成ディープフェイク広告を使った仮想通貨投資詐欺グループ6人を逮捕。208人の被害者から1,900万ユーロを詐取し複数ダミー会社で洗浄していた。",daily-news/news/2025_04-06/20250408.md,https://www.bleepingcomputer.com/news/security/six-arrested-for-ai-powered-investment-scams-that-stole-20-million/,high,false,no
2025-04_android_zero_day,2025-04-08,2025-W15,2025-04,active_exploitation,Android CVE-2024-53197等ゼロデイがCellebriteによる実デバイス解析に悪用,"GoogleはAndroid 2025年4月パッチで62件の脆弱性を修正。CVE-2024-53197はCellebriteがセルビア当局向けにデバイスロック解除に悪用していたゼロデイエクスプロイトチェーンの一部。",daily-news/news/2025_04-06/20250408.md,https://www.bleepingcomputer.com/news/security/google-fixes-android-zero-days-exploited-in-attacks-60-other-flaws/,high,false,yes
2025-04_encrypthub_actor,2025-04-08,2025-W15,2025-04,incident,EncryptHubが618組織を侵害しながら同時にWindowsゼロデイを報告,"618組織への侵入に関与した脅威アクターEncryptHubが、SkorikARI名義でMicrosoftにWindowsゼロデイ2件を報告していたと判明。自身の認証情報が漏洩したことで正体が特定された。",daily-news/news/2025_04-06/20250408.md,https://www.bleepingcomputer.com/news/security/encrypthubs-dual-life-cybercriminal-vs-windows-bug-bounty-researcher/,high,false,maybe
2025-04_everest_site_defaced,2025-04-08,2025-W15,2025-04,incident,Everestランサムウェアのダークウェブリークサイトが改ざん・オフライン,Everestランサムウェア集団のダークウェブリークサイトが不明な攻撃者により改ざんされオフライン化。WordPress脆弱性の悪用が示唆されている。,daily-news/news/2025_04-06/20250408.md,https://www.bleepingcomputer.com/news/security/everest-ransomwares-dark-web-leak-site-defaced-now-offline/,medium,false,no
2025-04_vscode_cryptominer,2025-04-08,2025-W15,2025-04,malware_campaign,悪意のあるVSCode拡張機能9個がXMRigクリプトマイナーを配布,VS Code Marketplaceに正規ツールを装った悪意ある拡張機能9個が公開され30万回以上インストールされた。XMRigクリプトマイナーをインストールしWindowsの防御機能を無効化して永続化する。,daily-news/news/2025_04-06/20250408.md,https://www.bleepingcomputer.com/news/security/malicious-vscode-extensions-infect-windows-with-cryptominers/,high,false,yes
2025-04_wk_kellogg_clop_breach,2025-04-08,2025-W15,2025-04,incident,WK KelloggがCleo経由のClopランサムウェア関連データ侵害を公表,"WK Kelloggは2024年12月のCleo MFTソフトウェアのゼロデイ悪用によりClopが従業員・ベンダーデータ（氏名・SSN等）を窃取したと通知。影響者に1年間の無料ID監視サービスを提供。",daily-news/news/2025_04-06/20250408.md,https://www.bleepingcomputer.com/news/security/food-giant-wk-kellogg-discloses-data-breach-linked-to-clop-ransomware/,high,false,maybe
