event_key,dimension,raw_value,normalized_value,confidence,note
2025-04_ai_investment_scam_arrest,actor_attribution,サイバー犯罪グループ（詐欺・資金洗浄）,cybercrime,high,AIディープフェイクを使った投資詐欺グループ
2025-04_akirabot_ai_spam,actor_attribution,スパムサービス運営グループ,cybercrime,medium,SEOスパムサービスを販売する犯罪的手口（帰属明示なし）
2025-04_android_zero_day,initial_access,Cellebriteによる物理デバイス解析,not_applicable,high,ネットワーク経由の初期アクセスではなく物理デバイスへのフォレンジックツール悪用
2025-04_android_zero_day,product_class,Android/Linuxカーネル,os,high,AndroidおよびLinuxカーネルの脆弱性（CVE-2024-53197/CVE-2024-53150）
2025-04_aws_ssrf_iam_theft,actor_attribution,不明（単一アクターと推測）,unknown,medium,帰属情報なし
2025-04_aws_ssrf_iam_theft,initial_access,EC2ホストアプリのSSRF脆弱性悪用,exploit_public_facing_app,high,SSRFを用いてIMDSv1経由でEC2メタデータAPIにアクセス
2025-04_centrestack_rce_exploit,initial_access,CentreStack RCEゼロデイ悪用,exploit_public_facing_app,high,ハードコードmachineKeyを悪用した悪意あるデシリアライゼーション攻撃
2025-04_centrestack_rce_exploit,product_class,CentreStack（ファイル共有プラットフォーム）,collaboration_platform,medium,ファイル共有基盤として分類
2025-04_clfs_ransomexex_exploit,actor_attribution,RansomEXXランサムウェアグループ（Storm-2460）,cybercrime,high,sourceがRansomEXX(Storm-2460)と明示
2025-04_clfs_ransomexex_exploit,initial_access,初期アクセス手法不明,unknown,medium,特権昇格後の侵害が主軸で初期アクセスの記述なし
2025-04_clfs_ransomexex_exploit,product_class,Windows OS（CLFSドライバ）,os,high,Windows CLFSドライバのUse-After-Free脆弱性
2025-04_disgrasya_carding,actor_attribution,サイバー犯罪者（カーディング）,cybercrime,high,カーディング目的の金銭動機
2025-04_disgrasya_carding,initial_access,PyPIサプライチェーン,supply_chain,high,悪意あるPyPIパッケージ経由での攻撃基盤提供
2025-04_disgrasya_carding,product_class,PyPIパッケージエコシステム,package_ecosystem,high,PyPIに悪意あるパッケージを公開して配布
2025-04_dprk_npm_beavertail,actor_attribution,北朝鮮国家支援アクター,nation_state,high,sourceが北朝鮮のAPTグループと明示
2025-04_dprk_npm_beavertail,initial_access,npmサプライチェーン,supply_chain,high,npmレジストリに悪意あるパッケージを公開
2025-04_dprk_npm_beavertail,product_class,npmパッケージエコシステム,package_ecosystem,high,npmレジストリが感染経路
2025-04_encrypthub_actor,actor_attribution,EncryptHub（サイバー犯罪者/ランサムウェアアフィリエイト）,cybercrime,high,618組織への侵入関与・RansomHub/BlackSuit関連
2025-04_everest_site_defaced,actor_attribution,不明の攻撃者（Everestサイトを改ざん）,unknown,medium,改ざん実行者の帰属は不明
2025-04_everest_site_defaced,product_class,WordPress（推測）,cms,medium,セキュリティ専門家がWordPress脆弱性悪用を推測
